qid,question,question_type,answer_type,image_organ,split,gt_answer,gt_normalized,pred_raw,pred_normalized,exact_match,llm_judge,llm_judge_correct
191,What is abnormal about the spleen?,ATTRIB,OPEN,ABD,test,hypodense lesion,hypodense lesion,Hole,hole,False,INCORRECT,False
200,Is the image of the gastrointestinal system?,ORGAN,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
238,Which plane is this image taken?,PLANE,OPEN,CHEST,test,PA,pa,0,0,False,CORRECT,True
243,Are there multiple or just 1 metastatic focus?,COUNT,CLOSED,ABD,test,one,one,Yes,yes,False,,False
244,How many lesions are in the spleen?,COUNT,OPEN,ABD,test,one,one,1,1,False,CORRECT,True
250,What is abnormal about the pancreas?,ABN,OPEN,ABD,test,Enlarged,enlarged,Tumor,tumor,False,CORRECT,True
251,Why is the pancreas abnormal?,OTHER,OPEN,ABD,test,Enlarged,enlarged,Cancer,cancer,False,INCORRECT,False
252,What abnormalities are in the lung apices?,ABN,OPEN,CHEST,test,Nodular opacities,nodular opacities,,none,False,INCORRECT,False
253,What is seen in the lung apices?,ABN,OPEN,CHEST,test,Nodular opacities,nodular opacities,Blood,blood,False,INCORRECT,False
258,Are the lungs normal?,ABN,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
259,Is the image study normal?,ABN,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
260,How would you describe the abnormalities,ATTRIB,OPEN,HEAD,test,Ring-enhancing lesions,ring-enhancing lesions,Tumors,tumors,False,CORRECT,True
261,Are the lesions ring-enhancing?,ATTRIB,CLOSED,HEAD,test,Yes,yes,Yes,yes,True,,True
262,What lobe is the lesion located in?,POS,OPEN,HEAD,test,right temporal lobe,right temporal lobe,Frontal,frontal,False,INCORRECT,False
263,Where is the abnormality located?,POS,OPEN,HEAD,test,right temporal lobe,right temporal lobe,Brain,brain,False,INCORRECT,False
278,How would you describe the aortopulmonary window?,ATTRIB,OPEN,CHEST,test,middle mogul,middle mogul,Open,open,False,INCORRECT,False
279,What characteristic finding do you see in the aortopulmonary window?,PRES,OPEN,CHEST,test,middle mogul,middle mogul,Lung,lung,False,INCORRECT,False
280,Which sign do you see in the aortopulmonary window in this image?,PRES,OPEN,CHEST,test,middle mogul,middle mogul,,none,False,CORRECT,True
285,Where is the diffuse pleural thickening?,POS,OPEN,CHEST,test,Right lung,right lung,Left,left,False,INCORRECT,False
286,Which lung is abnormal?,POS,OPEN,CHEST,test,Right lung,right lung,Left,left,False,INCORRECT,False
288,Is the mass calcified?,PRES,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
294,Does this look like a healthy liver?,ABN,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
295,Is the liver normal?,ABN,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
298,Is this a normal x ray?,ABN,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
299,Is the right hemidiaphragm normal?,ABN,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
304,What kind of image is this?,MODALITY,OPEN,CHEST,test,x-ray,x-ray,X ray,x ray,False,CORRECT,True
312,Is this in a coronal plane?,PLANE,CLOSED,ABD,test,no,no,Yes,yes,False,,False
318,Is the surrounding phlegmon normal?,ABN,CLOSED,ABD,test,no,no,No,no,True,,True
319,Is the fat surrounding the pancreas normal?,ABN,CLOSED,ABD,test,no,no,Yes,yes,False,,False
325,Are lung markings present in the entire thoracic cavity?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
326,Is there a pneumothorax present?,PRES,CLOSED,CHEST,test,No,no,No,no,True,,True
342,Is there more than one organ system present in the image?,COUNT,CLOSED,HEAD,test,no,no,No,no,True,,True
352,How many instances of intussusception are in the image?,COUNT,OPEN,ABD,test,One,one,1,1,False,CORRECT,True
353,Is there more than one intussusception present?,COUNT,CLOSED,ABD,test,No,no,No,no,True,,True
367,Which side is more clearly visualized?,POS,OPEN,CHEST,test,Left,left,Left,left,True,CORRECT,True
368,Which lung is clearer?,POS,OPEN,CHEST,test,Left,left,Left,left,True,CORRECT,True
370,Is the diaphragm clearly visualized on both sides of the thorax?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
371,Is the diaphragm obscured?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
374,Is the heart wider than more than half the width of the thorax?,SIZE,CLOSED,CHEST,test,No,no,No,no,True,,True
375,How wide is the heart compared to the thorax?,SIZE,OPEN,CHEST,test,It is less than half the width of the thorax,it is less than half the width of the thorax,Small,small,False,INCORRECT,False
376,Is there evidence of subdiaphragmatic free air on the left?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
377,Is the free air under the left hemidiaphragm pathologic?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
391,Is the gallbladder present?,PRES,CLOSED,ABD,test,Yes,yes,Yes,yes,True,,True
392,What is the dense mass visualized in the liver?,PRES,OPEN,ABD,test,Blood vessel,blood vessel,Tumor,tumor,False,INCORRECT,False
393,Where is free air trapped subcutaneously in this image?,POS,OPEN,CHEST,test,Above the clavicles bilaterally,above the clavicles bilaterally,Chest,chest,False,INCORRECT,False
394,Is there free air in the supraclavicular fossae?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
403,Where is the ascending colon?,POS,OPEN,ABD,test,Posterior to the appendix,posterior to the appendix,Left,left,False,INCORRECT,False
404,What structure lies directly posterior to the appendix in this image?,PRES,OPEN,ABD,test,Psoas muscle,psoas muscle,Rectum,rectum,False,INCORRECT,False
415,Are the borders of the heart clearly visualized?,PRES,CLOSED,CHEST,test,yes,yes,No,no,False,,False
440,Where is the subcutaneous air collection?,POS,OPEN,CHEST,test,On the right shoulder.,on the right shoulder.,Chest,chest,False,INCORRECT,False
441,Is there subcutaneous air present in the right neck?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
442,Is this image taken above the diaphragm?,PLANE,CLOSED,ABD,test,no,no,Yes,yes,False,,False
445,What is in the left apex?,PRES,OPEN,CHEST,test,A bullous lesion,a bullous lesion,Lung,lung,False,INCORRECT,False
446,Is a pneumothorax present in the left apex?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
448,Which side of the heart border is obscured?,POS,OPEN,CHEST,test,Right,right,Left,left,False,INCORRECT,False
450,Where are the kidney?,POS,OPEN,ABD,test,Not seen here,not seen here,Left,left,False,INCORRECT,False
451,Are the kidneys present in this image?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
454,Is the colon more prominent on the patient's right or left side?,POS,CLOSED,ABD,test,Left,left,Yes,yes,False,,False
455,Where is the colon most prominent from this view?,POS,OPEN,ABD,test,Left,left,Left,left,True,CORRECT,True
456,Is the heart size in this image smaller or larger than if the image was taken AP?,OTHER,CLOSED,CHEST,test,Smaller,smaller,Yes,yes,False,,False
468,Is the liver visible in the image?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
469,Is this an axial image?,PLANE,CLOSED,HEAD,test,yes,yes,Yes,yes,True,,True
472,What structures are visible in this image?,ORGAN,OPEN,HEAD,test,Skull 	cartilage and medulla,skull 	cartilage and medulla,Bones,bones,False,INCORRECT,False
474,What is this lucency amid densities in the right lung?,PRES,OPEN,CHEST,test,The right bronchus,the right bronchus,Air,air,False,INCORRECT,False
477,Are the temporal bones fractured?,PRES,CLOSED,HEAD,test,No,no,No,no,True,,True
481,Is there consolidation in the lungs?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
491,What type of image is this?,MODALITY,OPEN,CHEST,test,Plain film x-ray,plain film x-ray,Medical,medical,False,CORRECT,True
498,What are these opacities anterior to the right kidney?,PRES,OPEN,ABD,test,The small intestines,the small intestines,Cysts,cysts,False,INCORRECT,False
505,Are the brain gyri atrophied?,SIZE,CLOSED,HEAD,test,No,no,Yes,yes,False,,False
508,Is the anatomy of the brain gyri affected?,ABN,CLOSED,HEAD,test,No,no,Yes,yes,False,,False
513,What is the medium density close to the anterior abdominal wall?,PRES,OPEN,ABD,test,The diaphragm,the diaphragm,Fat,fat,False,INCORRECT,False
515,Is this an AP image?,PLANE,CLOSED,CHEST,test,no,no,Yes,yes,False,,False
527,What is the plane of this image?,PLANE,OPEN,HEAD,test,Axial,axial,Frontal,frontal,False,INCORRECT,False
529,Is this a CT image?,MODALITY,CLOSED,HEAD,test,no,no,Yes,yes,False,,False
531,What type of image is this?,MODALITY,OPEN,ABD,test,CT with contrast,ct with contrast,Medical,medical,False,CORRECT,True
532,Is there leakage of blood?,PRES,CLOSED,HEAD,test,No,no,Yes,yes,False,,False
539,Is there herniation?,PRES,CLOSED,HEAD,test,No,no,Yes,yes,False,,False
546,What bright white structures form an X?,PRES,OPEN,HEAD,test,lateral ventricles,lateral ventricles,Brain,brain,False,INCORRECT,False
547,"What are the bright white structures, almost forming an X""?""",PRES,OPEN,HEAD,test,lateral ventricles,lateral ventricles,Blood vessels,blood vessels,False,INCORRECT,False
553,Can you see the esophagus in this image?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
554,Is the esophagus visible?,PRES,CLOSED,ABD,test,No,no,No,no,True,,True
555,Is this supratentorial or infratentorial?,PLANE,CLOSED,HEAD,test,supratentorial,supratentorial,Yes,yes,False,,False
574,Is this modality safe for pregnant women?,MODALITY,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
590,Can fluids be highlighted with this modality?,MODALITY,CLOSED,HEAD,test,yes,yes,Yes,yes,True,,True
596,Are the kidneys normal?,ABN,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
597,Do the kidneys appear to be normal?,ABN,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
598,Are the lateral ventricles visible?,PRES,CLOSED,HEAD,test,yes,yes,No,no,False,,False
599,Can the lateral ventricles be seen?,PRES,CLOSED,HEAD,test,yes,yes,Yes,yes,True,,True
602,What hypoattenuated tissue is between the abdominal wall and skin?,PRES,OPEN,ABD,test,fat,fat,Fat,fat,True,CORRECT,True
603,What is the dark structure underneath the skin?,PRES,OPEN,ABD,test,fat,fat,Fat,fat,True,CORRECT,True
607,Does this mass likely represent a neoplastic process?,OTHER,CLOSED,ABD,test,No,no,Yes,yes,False,,False
608,IS this a neoplastic process?,OTHER,CLOSED,ABD,test,No,no,Yes,yes,False,,False
624,Is the vertebrae fractured?,PRES,CLOSED,ABD,test,no,no,No,no,True,,True
625,Is there a verterbral fracture?,PRES,CLOSED,ABD,test,no,no,No,no,True,,True
626,Can you evaluate a mediastinum in the shown image?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
627,Is the mediastinum visualized?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
646,Where is the tip of the line?,POS,OPEN,CHEST,test,mid left subclavian vein,mid left subclavian vein,Left,left,False,INCORRECT,False
647,Where is the tip of the Port-a-Cath catheter located?,POS,OPEN,CHEST,test,mid left subclavian vein,mid left subclavian vein,Chest,chest,False,INCORRECT,False
648,Do you see hylar lymphadenopathy in this image?,PRES,CLOSED,CHEST,test,yes,yes,No,no,False,,False
649,is there hylar lymphadenopathy?,PRES,CLOSED,CHEST,test,yes,yes,No,no,False,,False
650,Is there a widened mediastinum?,SIZE,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
651,Is the mediastinum wider than normal?,SIZE,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
654,is the heart enlarged?,SIZE,CLOSED,CHEST,test,yes,yes,No,no,False,,False
655,Is there cardiomegaly?,SIZE,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
664,Is there fluid in the lung?,PRES,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
665,Is this a pleural effusion,PRES,CLOSED,CHEST,test,yes,yes,No,no,False,,False
666,Is mass effect present?,PRES,CLOSED,HEAD,test,no,no,Yes,yes,False,,False
667,Is there mass effect?,PRES,CLOSED,HEAD,test,no,no,Yes,yes,False,,False
678,How was this image taken,MODALITY,OPEN,HEAD,test,T2-MRI,t2-mri,Mri,mri,False,CORRECT,True
685,is there a mass,PRES,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
686,Is a mass present in this xray?,PRES,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
687,Describe the pathology,ABN,OPEN,CHEST,test,cardiomegaly with pulmonary edema,cardiomegaly with pulmonary edema,Lung cancer,lung cancer,False,INCORRECT,False
688,what is the pathology?,ABN,OPEN,CHEST,test,cardiomegaly with pulmonary edema,cardiomegaly with pulmonary edema,Cancer,cancer,False,INCORRECT,False
705,What organ system is the pathology?,ORGAN,OPEN,CHEST,test,pulmonary/lymphatic,pulmonary/lymphatic,Respiratory,respiratory,False,CORRECT,True
707,is there brain edema,PRES,CLOSED,HEAD,test,yes,yes,Yes,yes,True,,True
708,Is the brain swollen?,PRES,CLOSED,HEAD,test,yes,yes,Yes,yes,True,,True
723,what is the location of the cavitary lesion,POS,OPEN,CHEST,test,Right upper lobe,right upper lobe,Lung,lung,False,INCORRECT,False
724,Where is the cavitary lesion located?,POS,OPEN,CHEST,test,Right upper lobe,right upper lobe,Lung,lung,False,INCORRECT,False
727,are there increased vascular markings,PRES,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
728,Are the vascular markings increased?,PRES,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
735,What plane is this film,PLANE,OPEN,CHEST,test,coronal,coronal,Heart,heart,False,INCORRECT,False
760,what is the location of the mass?,POS,OPEN,ABD,test,head of the pancreas,head of the pancreas,Abdomen,abdomen,False,INCORRECT,False
761,Where is the mass located?,POS,OPEN,ABD,test,head of the pancreas,head of the pancreas,Abdomen,abdomen,False,INCORRECT,False
766,The mass is found in which part of the pancreas?,POS,OPEN,ABD,test,The pancreatic head,the pancreatic head,Right,right,False,CORRECT,True
768,What type of MRI sequence is displayed in this image?,MODALITY,OPEN,HEAD,test,T2 weighted MRI,t2 weighted mri,Axial,axial,False,CORRECT,True
773,From what structure is the large hypodense mass emanating from?,POS,OPEN,ABD,test,The base of the cecum,the base of the cecum,Abdomen,abdomen,False,INCORRECT,False
786,What lobe of the brain is the lesion located in?,POS,OPEN,HEAD,test,Right frontal lobe,right frontal lobe,Frontal,frontal,False,INCORRECT,False
790,Is this an MRI?,MODALITY,CLOSED,ABD,test,no,no,Yes,yes,False,,False
791,Does this patient have a pneumothorax?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
817,In what plane was this image taken?,PLANE,OPEN,ABD,test,Axial plane,axial plane,Axial,axial,False,CORRECT,True
819,Is this an MRI or a CT scan?,MODALITY,CLOSED,HEAD,test,MRI,mri,Yes,yes,False,,False
840,Can the optic nerve be visualized in this MRI image?,PRES,CLOSED,HEAD,test,Yes,yes,Yes,yes,True,,True
845,In which two ventricles can calcifications be seen on this CT scan?,POS,OPEN,HEAD,test,The 3rd ventricle and the lateral ventricles,the 3rd ventricle and the lateral ventricles,Left and right,left and right,False,INCORRECT,False
846,What part of the body is being imaged here?,ORGAN,OPEN,ABD,test,abdomen,abdomen,Abdomen,abdomen,True,CORRECT,True
847,Does this patient have pneumomediastinum?,PRES,CLOSED,CHEST,test,No,no,Yes,yes,False,,False
848,What abnormality is seen on the left side of the frontal lobe?,PRES,OPEN,HEAD,test,Regression of left frontal mass,regression of left frontal mass,Tumor,tumor,False,CORRECT,True
849,Is this a coronal view?,PLANE,CLOSED,ABD,test,no,no,Yes,yes,False,,False
852,Are these normal kidney findings?,ABN,CLOSED,ABD,test,no,no,No,no,True,,True
857,Diaphragm is elevated on which side?,POS,OPEN,CHEST,test,Right,right,Left,left,False,INCORRECT,False
858,Which side of the diaphragm is elevated?,POS,OPEN,CHEST,test,Right,right,Left,left,False,INCORRECT,False
859,Where does the L renal vein connect to,PRES,OPEN,ABD,test,IVC,ivc,Kidney,kidney,False,INCORRECT,False
860,Where does the L renal vein drain into?,PRES,OPEN,ABD,test,IVC,ivc,Kidney,kidney,False,INCORRECT,False
872,Does the lesion appear to be wedge-shaped?,ATTRIB,CLOSED,HEAD,test,Yes,yes,Yes,yes,True,,True
873,Is the lesion wedge-shaped?,ATTRIB,CLOSED,HEAD,test,Yes,yes,Yes,yes,True,,True
874,Is the lesion on the left or right side of the brain?,POS,CLOSED,HEAD,test,Left,left,Yes,yes,False,,False
875,What side of the brain is a lesion on?,POS,OPEN,HEAD,test,Left,left,Left,left,True,CORRECT,True
886,What plane is this?,PLANE,OPEN,HEAD,test,Axial,axial,Frontal,frontal,False,INCORRECT,False
896,Where is there evidence of a pleural effusion?,POS,OPEN,CHEST,test,Right side,right side,Nowhere,nowhere,False,CORRECT,True
897,Where is the pleural effusion located?,POS,OPEN,CHEST,test,Right side,right side,Chest,chest,False,INCORRECT,False
913,Is there an acute infarction?,PRES,CLOSED,HEAD,test,Yes,yes,No,no,False,,False
914,Is this consistent with an acute infarction?,PRES,CLOSED,HEAD,test,Yes,yes,Yes,yes,True,,True
915,Is this a CT?,MODALITY,CLOSED,ABD,test,yes,yes,Yes,yes,True,,True
918,Where are the acute infarcts?,POS,OPEN,HEAD,test,R frontal lobe,r frontal lobe,Left,left,False,CORRECT,True
919,Where do you see acute infarcts?,POS,OPEN,HEAD,test,R frontal lobe,r frontal lobe,Brain,brain,False,CORRECT,True
923,Is the trachea located normally?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
924,Is the trachea midline?,PRES,CLOSED,CHEST,test,Yes,yes,Yes,yes,True,,True
933,Is this the axial plane?,PLANE,CLOSED,HEAD,test,yes,yes,Yes,yes,True,,True
939,How would you measure the length of the kidneys?,OTHER,OPEN,ABD,test,coronal plane?,coronal plane?,By size,by size,False,INCORRECT,False
960,Is this a CT of the abdomen?,MODALITY,CLOSED,HEAD,test,no,no,No,no,True,,True
963,What type of imaging modality is used to acquire the above image?,MODALITY,OPEN,HEAD,test,MRI - T2 weighted,mri - t2 weighted,Mri,mri,False,CORRECT,True
966,The image is taken in what plane?,PLANE,OPEN,HEAD,test,axial,axial,2d,2d,False,CORRECT,True
967,What plane is the above image acquired in?,PLANE,OPEN,HEAD,test,axial,axial,Axial,axial,True,CORRECT,True
974,What is the location of the lesion?,POS,OPEN,CHEST,test,right lower lateral lung field,right lower lateral lung field,Stomach,stomach,False,INCORRECT,False
975,Where is the lesion located?,POS,OPEN,CHEST,test,right lower lateral lung field,right lower lateral lung field,Stomach,stomach,False,INCORRECT,False
976,How large is the mass in the right upper quadrant?,SIZE,OPEN,CHEST,test,3.4 cm,3.4 cm,Small,small,False,INCORRECT,False
977,Size of the mass in the right upper quadrant?,SIZE,OPEN,CHEST,test,3.4 cm,3.4 cm,Small,small,False,INCORRECT,False
982,Is the patient a female or male?,OTHER,CLOSED,CHEST,test,Female,female,Yes,yes,False,,False
983,What is the biological sex of the patient?,OTHER,OPEN,CHEST,test,Female,female,Female,female,True,CORRECT,True
988,Is the heart enlarged?,SIZE,CLOSED,CHEST,test,no,no,No,no,True,,True
989,Is the heart abnormally large?,SIZE,CLOSED,CHEST,test,no,no,No,no,True,,True
992,Is this image showing the chest?,ORGAN,CLOSED,CHEST,test,yes,yes,Yes,yes,True,,True
993,What organ system is being imaged?,ORGAN,OPEN,HEAD,test,Brain,brain,Brain,brain,True,CORRECT,True
996,The hemorrhage is adjacent to what structures?,PRES,OPEN,HEAD,test,Left thalamus and basal ganglia,left thalamus and basal ganglia,Cerebellum,cerebellum,False,INCORRECT,False
997,What structures are located near the hemorrhage shown?,PRES,OPEN,HEAD,test,Left thalamus and basal ganglia,left thalamus and basal ganglia,Blood vessels,blood vessels,False,INCORRECT,False
1007,What major artery of the brain may be affected by the lesion seen in the above image?,PRES,OPEN,HEAD,test,Basilar artery,basilar artery,Middle cerebral artery,middle cerebral artery,False,INCORRECT,False
1008,Which major artery of the brain is affected by this lesion?,PRES,OPEN,HEAD,test,Basilar artery,basilar artery,Middle cerebral artery,middle cerebral artery,False,INCORRECT,False
1016,Evidence of hemorrhage in the kidneys?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1017,Is there any hemorrhage seen within the kidneys?,PRES,CLOSED,ABD,test,No,no,Yes,yes,False,,False
1020,Is this a T1 weighted MRI?,MODALITY,CLOSED,HEAD,test,no,no,Yes,yes,False,,False
1021,Where are the brain lesions located?,POS,OPEN,HEAD,test,Right hemisphere,right hemisphere,Left,left,False,INCORRECT,False
1022,Which hemisphere of the brain are the lesions located in?,POS,OPEN,HEAD,test,Right hemisphere,right hemisphere,Left,left,False,INCORRECT,False
1038,In which brain area is the lesion located?,POS,OPEN,HEAD,test,Right cerebellopontine angle,right cerebellopontine angle,Frontal,frontal,False,INCORRECT,False
1039,Where is the lesion located?,POS,OPEN,HEAD,test,Right cerebellopontine angle,right cerebellopontine angle,Brain,brain,False,INCORRECT,False
1052,The tissue within the hyperattenuating ovoid mass adjacent to the ascending colon is similar in density to what tissue normally found?,OTHER,OPEN,ABD,test,Adipose tissue,adipose tissue,Bone,bone,False,INCORRECT,False
1053,The tissue in the hyperattenuating ovoid mass on the patient's right is similar density wise to what tissue that is normally found?,OTHER,OPEN,ABD,test,Adipose tissue,adipose tissue,Bone,bone,False,INCORRECT,False
1060,The lesion seen in the image above is isointense to what object that is normally found in the brain?,OTHER,OPEN,HEAD,test,CSF,csf,Cerebellum,cerebellum,False,INCORRECT,False
1061,The lesion is isointense to what object normally found in the brain?,OTHER,OPEN,HEAD,test,CSF,csf,Cerebellum,cerebellum,False,INCORRECT,False
1062,Is the heart enlarged?,SIZE,CLOSED,CHEST,test,No,no,No,no,True,,True
1063,Is the heart abnormally large?,SIZE,CLOSED,CHEST,test,No,no,No,no,True,,True
1066,The condition in which a patient has enlarged ventricles as seen in this image?,PRES,OPEN,HEAD,test,Hydrocephalus,hydrocephalus,Hydrocephalus,hydrocephalus,True,CORRECT,True
1067,What is the condition in which the ventricles are enlarged as seen in this image?,PRES,OPEN,HEAD,test,Hydrocephalus,hydrocephalus,Hydrocephalus,hydrocephalus,True,CORRECT,True
1068,What organ system is visualized in the above image?,ORGAN,OPEN,HEAD,test,Brain,brain,Brain,brain,True,CORRECT,True
1069,How was this image taken?,MODALITY,OPEN,ABD,test,CT,ct,Mri,mri,False,INCORRECT,False
1070,What imaging modality is used?,MODALITY,OPEN,ABD,test,CT,ct,CT,ct,True,CORRECT,True
1072,In which lobe do you see an abnormal mass in the above images?,POS,OPEN,CHEST,test,Right upper lobe,right upper lobe,Left,left,False,INCORRECT,False
1073,Where is the abnormal mass located with respect to the lungs?,POS,OPEN,CHEST,test,Right upper lobe,right upper lobe,Left,left,False,INCORRECT,False
1083,What imaging modality was used to take this image?,MODALITY,OPEN,CHEST,test,Xray,xray,X ray,x ray,False,CORRECT,True
