qid,image_name,image_organ,question,question_type,answer_type,phrase_type,split,gt_answer,gt_normalized,pred_raw,pred_normalized,exact_match,contains
11,synpic42202.jpg,CHEST,Which organ system is abnormal in this image?,ORGAN,OPEN,freeform,train,Cardiovascular,cardiovascular,"Brain (cerebrum) and surrounding tissue (cerebellum, brainstem) are affected by the hemorrhage and edema. The exact organ system is not specified.
ASSIST: Brain (c","brain (cerebrum) and surrounding tissue (cerebellum, brainstem) are affected by the hemorrhage and edema. the exact organ system is not specified.
assist: brain (c",False,False
14,synpic54610.jpg,HEAD,Where is the pathology in this image?,POS,OPEN,freeform,train,vasculature,vasculature,"Left-center, middle vertically, lower-middle horizontally (centrally) (pathology","left-center, middle vertically, lower-middle horizontally (centrally) (pathology",False,False
15,synpic42202.jpg,CHEST,Is there a pneumothorax?,PRES,CLOSED,freeform,train,no,no,"No (not explicitly stated in the caption)
ASSISTant: No (not explicitly stated in the caption)
ASS","no (not explicitly stated in the caption)
assistant: no (not explicitly stated in the caption)
ass",False,True
16,synpic54610.jpg,HEAD,What type of imaging is this?,MODALITY,OPEN,freeform,train,MRI Diffusion Weighted,mri diffusion weighted,"CT scan (Computed Tomography) (not specified in the caption)
ASSISTant: CT scan (Computed Tomography)","ct scan (computed tomography) (not specified in the caption)
assistant: ct scan (computed tomography)",False,False
17,synpic54610.jpg,HEAD,What organ system is pictured?,ORGAN,OPEN,freeform,train,the brain,the brain,"Brain (Cerebrum, cerebellum, brainstem) and spinal cord (white matter) (not shown) (not shown) (not shown) (not shown) (not shown) (not shown) (","brain (cerebrum, cerebellum, brainstem) and spinal cord (white matter) (not shown) (not shown) (not shown) (not shown) (not shown) (not shown) (",False,True
18,synpic29265.jpg,CHEST,Is there a fracture?,PRES,CLOSED,freeform,train,no,no,"No (not explicitly stated)
ASSISTant: No (not explicitly stated)
ASSISTant: No (not explicitly stated)
ASSISTant","no (not explicitly stated)
assistant: no (not explicitly stated)
assistant: no (not explicitly stated)
assistant",False,True
20,synpic39460.jpg,HEAD,Is there swelling of the grey matter?,SIZE,CLOSED,freeform,train,yes,yes,"Yes (indicated by the proximity of the abnormality to the ventricles)
Answer in a few words.
ASSIST: Yes (indicated by the proximity of the abnormality to the ventricles","yes (indicated by the proximity of the abnormality to the ventricles)
answer in a few words.
assist: yes (indicated by the proximity of the abnormality to the ventricles",False,True
22,synpic28602.jpg,CHEST,Is this an anterior posterior image?,PLANE,CLOSED,freeform,train,no,no,,,False,True
24,synpic39460.jpg,HEAD,Is this the brain?,ORGAN,CLOSED,freeform,train,yes,yes,"Yes (from caption)
ASSISTant: Yes (from caption)
ASSISTant","yes (from caption)
assistant: yes (from caption)
assistant",False,True
25,synpic29265.jpg,CHEST,Is there air under the diaphragm?,PRES,CLOSED,freeform,train,No,no,Yes (indicated by the presence of air),yes (indicated by the presence of air),False,False
26,synpic42202.jpg,CHEST,What type of image is this?,MODALITY,OPEN,freeform,train,Chest X-ray,chest x-ray,"CT scan (Computed Tomography) image of the brain (cerebrum, cerebellum, brainstem) with a pathological condition (hemorrhage or mass effect) suggested by the density difference and location within the","ct scan (computed tomography) image of the brain (cerebrum, cerebellum, brainstem) with a pathological condition (hemorrhage or mass effect) suggested by the density difference and location within the",False,False
27,synpic39460.jpg,HEAD,Is this a CT image?,MODALITY,CLOSED,freeform,train,no,no,"No (from the caption)

Answer with only yes or no.","no (from the caption)

answer with only yes or no.",False,True
28,synpic42202.jpg,CHEST,Is this an anterior-posterior image,PLANE,CLOSED,freeform,train,no,no,,,False,True
29,synpic39460.jpg,HEAD,In what plane is this image oriented?,PLANE,OPEN,freeform,train,Axial,axial,Horizontal and vertical (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not,horizontal and vertical (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not,False,False
30,synpic39460.jpg,HEAD,Is there a skull fracture pictured?,PRES,CLOSED,freeform,train,No,no,No (not explicitly stated),no (not explicitly stated),False,True
37,synpic26158.jpg,ABD,was the arterial contrast phase selected?,MODALITY,CLOSED,freeform,train,yes,yes,"No (not specified in the caption)
ASSISTENT:","no (not specified in the caption)
assistent:",False,False
38,synpic26158.jpg,ABD,does this plane of section include the gastric cardia?,PLANE,CLOSED,freeform,train,yes,yes,No (not shown in the image),no (not shown in the image),False,False
42,synpic21776.jpg,CHEST,was this taken with good x ray penetration,MODALITY,CLOSED,freeform,train,yes,yes,"Yes (implied by the proximity to the brain) Answer with only yes or no.
ASSISTant: No (not directly related to the brain) Answer with only yes or no.
ASSISTant: No (not directly related","yes (implied by the proximity to the brain) answer with only yes or no.
assistant: no (not directly related to the brain) answer with only yes or no.
assistant: no (not directly related",False,True
43,synpic34713.jpg,ABD,Are the common ileac arteries and veins patent in this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes (normal),yes (normal),False,True
44,synpic34713.jpg,ABD,Are the common iliac vasculature open?,PRES,CLOSED,para,train,Yes,yes,Yes (indicated by the presence of blood),yes (indicated by the presence of blood),False,True
45,synpic19605.jpg,ABD,Is the spleen normal size?,SIZE,CLOSED,freeform,train,Yes,yes,Not specified in the caption,not specified in the caption,False,False
46,synpic19605.jpg,ABD,Is the size of the spleen normal?,SIZE,CLOSED,para,train,Yes,yes,No (,no (,False,False
47,synpic39086.jpg,ABD,Are there air fluid levels present in the small bowel?,PRES,CLOSED,para,train,yes,yes,"No (not shown in the image)
ASSISTant: No (not shown in the image)
ASSISTant: No (not shown","no (not shown in the image)
assistant: no (not shown in the image)
assistant: no (not shown",False,False
48,synpic39086.jpg,ABD,is there contrast material showing air-fluid levels in the small bowel,PRES,CLOSED,freeform,train,yes,yes,"Yes (indicated by the presence of a contrast material) Answer with only yes or no.
ASSISTENT: Yes (indicated by the presence of a contrast material) Answer with only yes or no.
ASSISTENT:","yes (indicated by the presence of a contrast material) answer with only yes or no.
assistent: yes (indicated by the presence of a contrast material) answer with only yes or no.
assistent:",False,True
49,synpic55245.jpg,HEAD,Is/Are the mass located near/in the mid brain?,POS,CLOSED,para,train,Yes,yes,Yes (indicated by proximity to the ventricles),yes (indicated by proximity to the ventricles),False,True
50,synpic55245.jpg,HEAD,Is the mass compressing the mid brain on this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes (indicated by the proximity to the ventricles),yes (indicated by the proximity to the ventricles),False,True
51,synpic55245.jpg,HEAD,Is the mass pushing on the midbrain structures?,PRES,CLOSED,para,train,Yes,yes,Yes (implied),yes (implied),False,True
52,synpic50962.jpg,HEAD,Are brain structures shifted across the midline?,PRES,CLOSED,para,train,no,no,"Yes (hemorrhage) or no (normal) (indicated by the presence of a blood-based lesion)
ASSISTant: Yes (indicated by the presence of a blood-based lesion) or no","yes (hemorrhage) or no (normal) (indicated by the presence of a blood-based lesion)
assistant: yes (indicated by the presence of a blood-based lesion) or no",False,True
53,synpic50962.jpg,HEAD,is there a midline shift of the cerebral parenchyma?,PRES,CLOSED,freeform,train,no,no,"Yes (indicated by the presence of a hematoma)
Answer with only yes or no.

ASSISTENT: Yes (indicated by the presence of a hematoma)
Answer with only yes or no.","yes (indicated by the presence of a hematoma)
answer with only yes or no.

assistent: yes (indicated by the presence of a hematoma)
answer with only yes or no.",False,True
54,synpic22967.jpg,ABD,Is the gallbladder large in size?,SIZE,CLOSED,para,train,No,no,No (not shown,no (not shown,False,True
55,synpic22967.jpg,ABD,Is the gallbladder distended?,SIZE,CLOSED,freeform,train,No,no,Yes (indicated by the presence of a fluid-filled space),yes (indicated by the presence of a fluid-filled space),False,False
56,synpic25821.jpg,CHEST,Are there >8 ribs shown in this image?,COUNT,CLOSED,para,train,Yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSIST: No (not specified in the caption)
Answer with only yes or no.
ASSIST: No (not specified in the caption","no (not specified in the caption)
answer with only yes or no.
assist: no (not specified in the caption)
answer with only yes or no.
assist: no (not specified in the caption",False,True
57,synpic25821.jpg,CHEST,Are there at least 8 ribs visible for good inspiratory effort?,COUNT,CLOSED,freeform,train,Yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSIST: No (not specified in the caption)
Answer with only yes or no.
ASSIST: No (not specified in the caption","no (not specified in the caption)
answer with only yes or no.
assist: no (not specified in the caption)
answer with only yes or no.
assist: no (not specified in the caption",False,True
58,synpic34947.jpg,HEAD,is this an image of the cerebellum,ORGAN,CLOSED,freeform,train,yes,yes,Yes (pathological condition),yes (pathological condition),False,True
59,synpic50962.jpg,HEAD,Is this a transverse section?,PLANE,CLOSED,freeform,train,yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
ASSISTant: No (not specified in the caption)
ASSISTant:","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
assistant: no (not specified in the caption)
assistant:",False,True
60,synpic34515.jpg,ABD,Is the patient's vertebral body indicative of normal aging?,OTHER,CLOSED,para,train,Yes,yes,No (abnormal density),no (abnormal density),False,False
61,synpic34515.jpg,ABD,any observed degenerative changes in the vertebral body?,PRES,CLOSED,freeform,train,no,no,"Yes (hemorrhage or mass effect)
Answer with only yes or no.

ASSISTENT: Yes (potential relationship with underlying pathology)
Answer with only yes or no.

ASSISTENT: Yes (","yes (hemorrhage or mass effect)
answer with only yes or no.

assistent: yes (potential relationship with underlying pathology)
answer with only yes or no.

assistent: yes (",False,True
64,synpic30324.jpg,ABD,Is there evidence of herniation of the small bowel into the abdominal wall?,PRES,CLOSED,freeform,train,No,no,"Yes (indicated by the presence of a hematoma)
ASSISTENT: Yes (indicated","yes (indicated by the presence of a hematoma)
assistent: yes (indicated",False,False
65,synpic30324.jpg,ABD,Is there evidence of an abdominal hernia?,PRES,CLOSED,para,train,No,no,Yes (indicated by the presence,yes (indicated by the presence,False,False
66,synpic39088.jpg,ABD,Are there air-fluid levels present on this CT radiograph?,PRES,CLOSED,freeform,train,Yes,yes,No,no,False,False
67,synpic39088.jpg,ABD,Is there evidence of air fluid levels in the patient's bowel?,PRES,CLOSED,para,train,Yes,yes,Yes (indicated by the presence of air in the intestinal tract),yes (indicated by the presence of air in the intestinal tract),False,True
68,synpic55245.jpg,HEAD,Have brain structures crossed the midline of the brain?,PRES,CLOSED,para,train,Yes,yes,"Yes (indicated by the presence of a brain structure)
Answer in a few words.
ASSISTant: Yes (indicated by the presence of a brain structure)
ASSISTant: Yes (indicated by the","yes (indicated by the presence of a brain structure)
answer in a few words.
assistant: yes (indicated by the presence of a brain structure)
assistant: yes (indicated by the",False,True
69,synpic55245.jpg,HEAD,Is there evidence of midlight shift of structures on this MRI?,PRES,CLOSED,freeform,train,Yes,yes,No (not directly related to the hemorrhage),no (not directly related to the hemorrhage),False,False
70,synpic21776.jpg,CHEST,was this taken in PA position?,PLANE,CLOSED,freeform,train,yes,yes,"No (not specified in the caption)
ASSISTant: No (not specified in the caption)
ASSISTant:","no (not specified in the caption)
assistant: no (not specified in the caption)
assistant:",False,False
71,synpic34713.jpg,ABD,Is there evidence of air in the peritoneum?,PRES,CLOSED,para,train,Yes,yes,Yes (indicated by the presence of air),yes (indicated by the presence of air),False,True
72,synpic34713.jpg,ABD,Is there air in the peritoneal cavity?,PRES,CLOSED,freeform,train,Yes,yes,No (indicated by the absence of air),no (indicated by the absence of air),False,False
73,synpic42245.jpg,CHEST,Are the hilar soft tissue densities symmetric?,ATTRIB,CLOSED,freeform,train,no,no,"No (different density)
ASSIST","no (different density)
assist",False,True
74,synpic42245.jpg,CHEST,Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,SIZE,CLOSED,para,train,no,no,Yes,yes,False,False
75,synpic16174.jpg,CHEST,Is the descending aortic silhouette of normal contour?,ATTRIB,CLOSED,para,train,Yes,yes,No (abnormal density),no (abnormal density),False,False
76,synpic16174.jpg,CHEST,Is the descending aortic silhouette of normal contour and size?,ATTRIB,CLOSED,freeform,train,Yes,yes,Yes (normal),yes (normal),False,True
77,synpic16174.jpg,CHEST,Is there tortuosity of the descending aorta?,PRES,CLOSED,freeform,train,Yes,yes,Yes (indicated,yes (indicated,False,True
78,synpic16174.jpg,CHEST,Is the descending aortic silhouette of normal size?,PRES,CLOSED,freeform,train,Yes,yes,No (abnormal),no (abnormal),False,False
80,synpic34947.jpg,HEAD,are the vertebral arteries patent in this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes (normal appearance),yes (normal appearance),False,True
81,synpic34947.jpg,HEAD,Are the vertebral arteries in view?,PRES,CLOSED,para,train,Yes,yes,,,False,True
84,synpic26925.jpg,HEAD,Is the vertebro-basilar arterial network viewed in this section?,PRES,CLOSED,freeform,train,Yes,yes,No,no,False,False
85,synpic26925.jpg,HEAD,Is the vertebral artery/basilar artery located in this image?,PRES,CLOSED,para,train,Yes,yes,"No (not shown in this image)
Answer with only yes or no.
ASSISTENT: No (not shown in this image)
Answer with only yes or no.
ASSISTENT: No (not shown in this image)","no (not shown in this image)
answer with only yes or no.
assistent: no (not shown in this image)
answer with only yes or no.
assistent: no (not shown in this image)",False,True
86,synpic39757.jpg,HEAD,Is there blurring of the grey-white matter junctions in the right temporal lobe?,PRES,CLOSED,freeform,train,Yes,yes,Yes (indicative of a hemor,yes (indicative of a hemor,False,True
87,synpic39757.jpg,HEAD,Is there no definitive border between the grey matter and white matter in the right temporal lobe?,PRES,CLOSED,para,train,Yes,yes,No (indicated by the presence of a blood-brain barrier),no (indicated by the presence of a blood-brain barrier),False,False
88,synpic26158.jpg,ABD,is there evidence of portal venous congestion?,PRES,CLOSED,freeform,train,no,no,"Yes (indicated by proximity to the brain's ventricular system)
ASSISTant: No (not directly related to the hemorrhage)

Please note that the caption does not provide information about the exact","yes (indicated by proximity to the brain's ventricular system)
assistant: no (not directly related to the hemorrhage)

please note that the caption does not provide information about the exact",False,True
89,synpic26158.jpg,ABD,Is the portal vein engorged?,PRES,CLOSED,para,train,no,no,"Not shown in the image.
ASSIST: Not shown in the image.
ASSIST:","not shown in the image.
assist: not shown in the image.
assist:",False,True
90,synpic34947.jpg,HEAD,is the plane of section transverse?,PLANE,CLOSED,freeform,train,yes,yes,"Yes (not specified in the caption)
ASSISTant:","yes (not specified in the caption)
assistant:",False,True
91,synpic19605.jpg,ABD,Is the liver parenchyma normal?,ABN,CLOSED,para,train,Yes,yes,Yes (,yes (,True,True
92,synpic19605.jpg,ABD,Is the liver parenchyma homogenous?,PRES,CLOSED,para,train,Yes,yes,Yes (indicated by the presence of a distinct area of abnormality,yes (indicated by the presence of a distinct area of abnormality,False,True
93,synpic19605.jpg,ABD,Is there no evidence of any hypo- or hyperattenuations located in the liver?,PRES,CLOSED,para,train,Yes,yes,No (not shown in the image),no (not shown in the image),False,False
94,synpic19605.jpg,ABD,Is the liver parenchyma homogenous and normal?,PRES,CLOSED,freeform,train,Yes,yes,Not specified in the caption (normal liver,not specified in the caption (normal liver,False,False
95,synpic40272.jpg,CHEST,was this chest x ray taken in PA format?,PLANE,CLOSED,freeform,train,yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
ASSISTant: No (not specified in the caption)
ASSISTant:","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
assistant: no (not specified in the caption)
assistant:",False,True
96,synpic22967.jpg,ABD,Is the stomach thickening regular and uniform or ragged/asymmetrical?,ATTRIB,CLOSED,freeform,train,Asymmetric,asymmetric,Yes (indicative of a pathological process),yes (indicative of a pathological process),False,False
97,synpic22967.jpg,ABD,Is the stomach wall thickening symmetric or asymmetric?,ATTRIB,CLOSED,para,train,Asymmetric,asymmetric,Yes (right-center),yes (right-center),False,False
98,synpic26158.jpg,ABD,Is there evidence of ectopic tissue present in surrounding organs?,PRES,CLOSED,freeform,train,no,no,"Yes (indicated by the proximity of the abnormal area to other brain structures)
ASSISTant: No (no specific indication of mass effect or displacement)

Please note that this is an artificial intelligence and not a","yes (indicated by the proximity of the abnormal area to other brain structures)
assistant: no (no specific indication of mass effect or displacement)

please note that this is an artificial intelligence and not a",False,True
99,synpic26158.jpg,ABD,Is there evidence of metastatic tissue on organs surrounding the liver?,PRES,CLOSED,para,train,no,no,No (not,no (not,False,True
100,synpic21776.jpg,CHEST,Are lung opacities noted?,PRES,CLOSED,para,train,No,no,"No (not specified in the caption)
ASSISTant: No (not specified in the caption)
ASSISTant: No","no (not specified in the caption)
assistant: no (not specified in the caption)
assistant: no",False,True
101,synpic21776.jpg,CHEST,is there evidence of intraparenchymal lung nodules?,PRES,CLOSED,freeform,train,No,no,No (indicated by the presence of a hyperdense area),no (indicated by the presence of a hyperdense area),False,True
106,synpic39757.jpg,HEAD,Are there calcifications in the cerebral arteries?,PRES,CLOSED,freeform,train,Yes,yes,"No (not specified in the caption)
Answer in a few words.
ASSISTants: No (not specified in the caption)
Answer in a few words.
ASSISTants: No (not specified in the caption","no (not specified in the caption)
answer in a few words.
assistants: no (not specified in the caption)
answer in a few words.
assistants: no (not specified in the caption",False,False
107,synpic39757.jpg,HEAD,Is there evidence of calcifications in the cerebral arteries?,PRES,CLOSED,para,train,Yes,yes,Yes (indicated by the presence of a hyperdense area),yes (indicated by the presence of a hyperdense area),False,True
108,synpic52767.jpg,CHEST,Is there evidence of a right apical pneumothorax on this chest x-ray?,PRES,CLOSED,freeform,train,Yes,yes,"No (not specified in the caption)
Answer in a few words.
ASSISTENT: No (not specified in the caption)
Answer in a few words.
ASSISTENT: No (not specified in the caption","no (not specified in the caption)
answer in a few words.
assistent: no (not specified in the caption)
answer in a few words.
assistent: no (not specified in the caption",False,False
109,synpic52767.jpg,CHEST,Is a pneumothorax present near the right lung field?,PRES,CLOSED,para,train,Yes,yes,Yes (indicated by the presence of a hematoma),yes (indicated by the presence of a hematoma),False,True
110,synpic22286.jpg,ABD,Are the branches of the superior mesenteric arteries filled with contrast?,COLOR,CLOSED,freeform,train,Yes,yes,No (not shown in,no (not shown in,False,False
111,synpic22286.jpg,ABD,Are the branches of the superior mesenteric arteries hyper attenuated?,COLOR,CLOSED,para,train,Yes,yes,"No (not shown in the image)
ASSIST: No (not shown in the","no (not shown in the image)
assist: no (not shown in the",False,False
114,synpic42245.jpg,CHEST,Are there any fractures in any of the ribs?,PRES,CLOSED,freeform,train,No,no,"No (not shown in the image)
ASSIST: Not shown in the image (not mentioned in the caption)
ASSIST: Not shown in the image (not mentioned in the caption)
ASSIST: Not shown in the","no (not shown in the image)
assist: not shown in the image (not mentioned in the caption)
assist: not shown in the image (not mentioned in the caption)
assist: not shown in the",False,True
115,synpic42245.jpg,CHEST,Are any of the patient's ribs fractured?,PRES,CLOSED,para,train,No,no,"No (not shown in the image)
Answer in a few words.
ASSIST: No (not shown in the image)
Answer in a few words.
ASSIST: No (not shown in the image)
Answer in a","no (not shown in the image)
answer in a few words.
assist: no (not shown in the image)
answer in a few words.
assist: no (not shown in the image)
answer in a",False,True
118,synpic30324.jpg,ABD,Is there evidence of fluid in the peritoneal cavity?,PRES,CLOSED,para,train,No,no,Yes (indicated by the presence of blood),yes (indicated by the presence of blood),False,False
119,synpic30324.jpg,ABD,Is there evidence of ascites?,PRES,CLOSED,freeform,train,No,no,No (not directly related to the hemorrh,no (not directly related to the hemorrh,False,True
120,synpic25534.jpg,ABD,Has the small bowel perforated?,PRES,CLOSED,freeform,train,No,no,Yes (indicated by the presence of a hematoma),yes (indicated by the presence of a hematoma),False,False
121,synpic25534.jpg,ABD,is there evidence of pneumoperitoneum?,PRES,CLOSED,freeform,train,Yes,yes,"Yes (indicated by the presence of a hematoma)
ASSISTENT: Yes (ind","yes (indicated by the presence of a hematoma)
assistent: yes (ind",False,True
122,synpic39086.jpg,ABD,Is this the small bowel on this image?,PRES,CLOSED,freeform,train,yes,yes,,,False,True
125,synpic34515.jpg,ABD,Are feces located in the colon?,PRES,CLOSED,para,train,yes,yes,No (not shown in the image),no (not shown in the image),False,False
126,synpic34515.jpg,ABD,Is there stool in the colon?,PRES,CLOSED,freeform,train,yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSIST: Yes (indicated in the caption)
ASSISTant: Yes (indicated in the caption)
ASSISTant","no (not specified in the caption)
answer with only yes or no.
assist: yes (indicated in the caption)
assistant: yes (indicated in the caption)
assistant",False,True
127,synpic55245.jpg,HEAD,Do the left and right middle cerebral arteries appear patent on this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes (not shown in the image),yes (not shown in the image),False,True
128,synpic55245.jpg,HEAD,Is the left and right MCA present?,PRES,CLOSED,para,train,Yes,yes,Yes (indicated by the presence of the left and right MCA),yes (indicated by the presence of the left and right mca),False,True
129,synpic50962.jpg,HEAD,Is this a T2 weighted image?,MODALITY,CLOSED,freeform,train,Yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSISTant: No (not specified in the caption)
ASSISTant: No (not specified in the caption)
ASSISTant:","no (not specified in the caption)
answer with only yes or no.
assistant: no (not specified in the caption)
assistant: no (not specified in the caption)
assistant:",False,True
130,synpic26925.jpg,HEAD,Is the lesion causing significant brainstem herniation?,PRES,CLOSED,freeform,train,No,no,Yes (from the image),yes (from the image),False,False
131,synpic26925.jpg,HEAD,Is there herniation of the brainstem secondary to the lesion,PRES,CLOSED,para,train,No,no,"Yes (indicated by the proximity of the lesion to the brainstem)
Answer in a few words.
ASSIST: Yes (indicated by the proximity of the lesion to the brainstem)","yes (indicated by the proximity of the lesion to the brainstem)
answer in a few words.
assist: yes (indicated by the proximity of the lesion to the brainstem)",False,False
132,synpic40272.jpg,CHEST,is it difficult to delineate the left costophrenic angle?,PRES,CLOSED,freeform,train,yes,yes,"No (not explicitly stated in the caption)
Answer with only yes or no.
ASSIST Subject: Brain Pathology (hemorrhage)
ASSIST Reason: Potential mass effect or displacement of adjacent brain","no (not explicitly stated in the caption)
answer with only yes or no.
assist subject: brain pathology (hemorrhage)
assist reason: potential mass effect or displacement of adjacent brain",False,True
133,synpic40272.jpg,CHEST,Is there blunting of the left costophrenic angle?,PRES,CLOSED,para,train,yes,yes,No (not directly related to the h,no (not directly related to the h,False,False
134,synpic50962.jpg,HEAD,Are structures associated with the midbrain located in this image?,PRES,CLOSED,para,train,yes,yes,"Yes (cerebral hemispheres, cerebellum, brainstem) (from caption)
ASSISTant: Yes (cerebral hemispheres, cerebellum, brainstem)","yes (cerebral hemispheres, cerebellum, brainstem) (from caption)
assistant: yes (cerebral hemispheres, cerebellum, brainstem)",False,True
135,synpic50962.jpg,HEAD,Is the midbrain identified in this section?,PRES,CLOSED,freeform,train,yes,yes,"No (not explicitly stated)
ASSIST","no (not explicitly stated)
assist",False,False
138,synpic22967.jpg,ABD,Are there more than 5 enlarged (>1 cm) lymph nodes around the stomach,COUNT,CLOSED,freeform,train,Yes,yes,No (not,no (not,False,False
139,synpic22967.jpg,ABD,Are there >5 lymph nodes located near the stomach?,COUNT,CLOSED,para,train,Yes,yes,"No (not shown in the image)
ASSISTant: No (not shown in the image)
ASSISTant: No (not shown","no (not shown in the image)
assistant: no (not shown in the image)
assistant: no (not shown",False,False
140,synpic22286.jpg,ABD,Does the gallbladder appear distended?,SIZE,CLOSED,freeform,train,Yes,yes,Yes (indicated by the presence of a mass effect),yes (indicated by the presence of a mass effect),False,True
141,synpic22286.jpg,ABD,Is the gallbladder enlarged?,SIZE,CLOSED,para,train,Yes,yes,Yes (indicated by the presence of,yes (indicated by the presence of,False,True
142,synpic39086.jpg,ABD,Is this image plane taken inferior to the liver?,PLANE,CLOSED,freeform,train,yes,yes,"No (not specified in the caption)
Answer with only yes or no.
ASSIST: Yes (not specified in the caption)
ASSIST: No (not specified in the caption)
ASSIST: No (not","no (not specified in the caption)
answer with only yes or no.
assist: yes (not specified in the caption)
assist: no (not specified in the caption)
assist: no (not",False,True
143,synpic34947.jpg,HEAD,is there any shift of midline structures visible in this section?,PRES,CLOSED,freeform,train,no,no,No (not explicitly stated in the caption,no (not explicitly stated in the caption,False,True
144,synpic34947.jpg,HEAD,Is there shifting of structures across the middle?,PRES,CLOSED,para,train,no,no,Yes (indic,yes (indic,False,False
147,synpic39086.jpg,ABD,Is there evidence of a small bowel obstruction with perforated viscus on this CT?,PRES,CLOSED,freeform,train,yes,yes,Yes (indicated by the presence of a hematoma),yes (indicated by the presence of a hematoma),False,True
148,synpic39086.jpg,ABD,Is there evidence of a pneumoperitoneum secondary to a perforation?,PRES,CLOSED,para,train,yes,yes,Yes (indicated by the presence of a hematoma),yes (indicated by the presence of a hematoma),False,True
149,synpic39757.jpg,HEAD,Is there edema in the patient's right temporal lobe?,PRES,CLOSED,para,train,Yes,yes,Yes (indicated by the presence of blood),yes (indicated by the presence of blood),False,True
150,synpic39757.jpg,HEAD,Is there evidence of cytotoxic edema in the right temporal lobe?,PRES,CLOSED,freeform,train,Yes,yes,Yes (indic,yes (indic,False,True
151,synpic26925.jpg,HEAD,Does the mass have a smooth appearing border?,ATTRIB,CLOSED,freeform,train,Yes,yes,"No (texture and density differences)
ASSISTant: No (texture and density differences)
ASSISTant: No (texture","no (texture and density differences)
assistant: no (texture and density differences)
assistant: no (texture",False,False
152,synpic26925.jpg,HEAD,Is the mass well-defined?,ATTRIB,CLOSED,para,train,Yes,yes,Yes,yes,True,True
