qid,image_name,image_organ,question,question_type,answer_type,phrase_type,split,gt_answer,gt_normalized,pred_raw,pred_normalized,exact_match,contains,llm_judge,llm_judge_correct
45,synpic19605.jpg,ABD,Is the spleen normal size?,SIZE,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
46,synpic19605.jpg,ABD,Is the size of the spleen normal?,SIZE,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
47,synpic39086.jpg,ABD,Are there air fluid levels present in the small bowel?,PRES,CLOSED,para,train,yes,yes,"No

The region of interest is located at the center of the image, with a subregion of interest exhibiting abnormal texture, possibly indicating an abnormality in the brain. This region shows a relationship to the brain's white matter","no

the region of interest is located at the center of the image, with a subregion of interest exhibiting abnormal texture, possibly indicating an abnormality in the brain. this region shows a relationship to the brain's white matter",False,False,,False
48,synpic39086.jpg,ABD,is there contrast material showing air-fluid levels in the small bowel,PRES,CLOSED,freeform,train,yes,yes,"The region of interest is located in the upper-middle part of the image, with a darker density compared to the surrounding air. This darker region is indicative of a potential abnormality, such as a brain hemorrhage,","the region of interest is located in the upper-middle part of the image, with a darker density compared to the surrounding air. this darker region is indicative of a potential abnormality, such as a brain hemorrhage,",False,False,,False
49,synpic55245.jpg,HEAD,Is/Are the mass located near/in the mid brain?,POS,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
50,synpic55245.jpg,HEAD,Is the mass compressing the mid brain on this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
51,synpic55245.jpg,HEAD,Is the mass pushing on the midbrain structures?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
52,synpic50962.jpg,HEAD,Are brain structures shifted across the midline?,PRES,CLOSED,para,train,no,no,Yes,yes,False,False,,False
53,synpic50962.jpg,HEAD,is there a midline shift of the cerebral parenchyma?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
54,synpic22967.jpg,ABD,Is the gallbladder large in size?,SIZE,CLOSED,para,train,No,no,Yes,yes,False,False,,False
55,synpic22967.jpg,ABD,Is the gallbladder distended?,SIZE,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
56,synpic25821.jpg,CHEST,Are there >8 ribs shown in this image?,COUNT,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
57,synpic25821.jpg,CHEST,Are there at least 8 ribs visible for good inspiratory effort?,COUNT,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
58,synpic34947.jpg,HEAD,is this an image of the cerebellum,ORGAN,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
59,synpic50962.jpg,HEAD,Is this a transverse section?,PLANE,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
60,synpic34515.jpg,ABD,Is the patient's vertebral body indicative of normal aging?,OTHER,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
61,synpic34515.jpg,ABD,any observed degenerative changes in the vertebral body?,PRES,CLOSED,freeform,train,no,no,"Yes

The region of interest is located at the center of the image, with a subregion of the brain, characterized by a hyperdense area indicative of abnormal tissue, which is likely a brain hemorrhage.","yes

the region of interest is located at the center of the image, with a subregion of the brain, characterized by a hyperdense area indicative of abnormal tissue, which is likely a brain hemorrhage.",False,True,,False
64,synpic30324.jpg,ABD,Is there evidence of herniation of the small bowel into the abdominal wall?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
65,synpic30324.jpg,ABD,Is there evidence of an abdominal hernia?,PRES,CLOSED,para,train,No,no,Yes,yes,False,False,,False
66,synpic39088.jpg,ABD,Are there air-fluid levels present on this CT radiograph?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
67,synpic39088.jpg,ABD,Is there evidence of air fluid levels in the patient's bowel?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
68,synpic55245.jpg,HEAD,Have brain structures crossed the midline of the brain?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
69,synpic55245.jpg,HEAD,Is there evidence of midlight shift of structures on this MRI?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
70,synpic21776.jpg,CHEST,was this taken in PA position?,PLANE,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
71,synpic34713.jpg,ABD,Is there evidence of air in the peritoneum?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
72,synpic34713.jpg,ABD,Is there air in the peritoneal cavity?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
73,synpic42245.jpg,CHEST,Are the hilar soft tissue densities symmetric?,ATTRIB,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
74,synpic42245.jpg,CHEST,Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,SIZE,CLOSED,para,train,no,no,Yes,yes,False,False,,False
75,synpic16174.jpg,CHEST,Is the descending aortic silhouette of normal contour?,ATTRIB,CLOSED,para,train,Yes,yes,"Yes

The region's abnormality is indicated by the term ""Central Nervous System"" (CNS) and the phrase ""Central Agenesis"" (CA), which is a congenital absence of the f","yes

the region's abnormality is indicated by the term ""central nervous system"" (cns) and the phrase ""central agenesis"" (ca), which is a congenital absence of the f",False,True,,False
76,synpic16174.jpg,CHEST,Is the descending aortic silhouette of normal contour and size?,ATTRIB,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
77,synpic16174.jpg,CHEST,Is there tortuosity of the descending aorta?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
78,synpic16174.jpg,CHEST,Is the descending aortic silhouette of normal size?,PRES,CLOSED,freeform,train,Yes,yes,"Yes

The region's abnormal density and size compared to the surrounding tissue indicate it may be a mass or lesion, which could be a sign of a brain tumor. The presence of a lesion in the aortic","yes

the region's abnormal density and size compared to the surrounding tissue indicate it may be a mass or lesion, which could be a sign of a brain tumor. the presence of a lesion in the aortic",False,True,,False
80,synpic34947.jpg,HEAD,are the vertebral arteries patent in this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
81,synpic34947.jpg,HEAD,Are the vertebral arteries in view?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
84,synpic26925.jpg,HEAD,Is the vertebro-basilar arterial network viewed in this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
85,synpic26925.jpg,HEAD,Is the vertebral artery/basilar artery located in this image?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
86,synpic39757.jpg,HEAD,Is there blurring of the grey-white matter junctions in the right temporal lobe?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
87,synpic39757.jpg,HEAD,Is there no definitive border between the grey matter and white matter in the right temporal lobe?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
88,synpic26158.jpg,ABD,is there evidence of portal venous congestion?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
89,synpic26158.jpg,ABD,Is the portal vein engorged?,PRES,CLOSED,para,train,no,no,Yes,yes,False,False,,False
90,synpic34947.jpg,HEAD,is the plane of section transverse?,PLANE,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
91,synpic19605.jpg,ABD,Is the liver parenchyma normal?,ABN,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
92,synpic19605.jpg,ABD,Is the liver parenchyma homogenous?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
93,synpic19605.jpg,ABD,Is there no evidence of any hypo- or hyperattenuations located in the liver?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
94,synpic19605.jpg,ABD,Is the liver parenchyma homogenous and normal?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
95,synpic40272.jpg,CHEST,was this chest x ray taken in PA format?,PLANE,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
96,synpic22967.jpg,ABD,Is the stomach thickening regular and uniform or ragged/asymmetrical?,ATTRIB,CLOSED,freeform,train,Asymmetric,asymmetric,Yes,yes,False,False,,False
97,synpic22967.jpg,ABD,Is the stomach wall thickening symmetric or asymmetric?,ATTRIB,CLOSED,para,train,Asymmetric,asymmetric,Yes,yes,False,False,,False
98,synpic26158.jpg,ABD,Is there evidence of ectopic tissue present in surrounding organs?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
99,synpic26158.jpg,ABD,Is there evidence of metastatic tissue on organs surrounding the liver?,PRES,CLOSED,para,train,no,no,Yes,yes,False,False,,False
100,synpic21776.jpg,CHEST,Are lung opacities noted?,PRES,CLOSED,para,train,No,no,Yes,yes,False,False,,False
101,synpic21776.jpg,CHEST,is there evidence of intraparenchymal lung nodules?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
106,synpic39757.jpg,HEAD,Are there calcifications in the cerebral arteries?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
107,synpic39757.jpg,HEAD,Is there evidence of calcifications in the cerebral arteries?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
108,synpic52767.jpg,CHEST,Is there evidence of a right apical pneumothorax on this chest x-ray?,PRES,CLOSED,freeform,train,Yes,yes,"Yes

The image shows a chest x-ray with a small pneumothorax catheter in the right lower lobe of the lung. The catheter is located in the lower right portion of the image, and its","yes

the image shows a chest x-ray with a small pneumothorax catheter in the right lower lobe of the lung. the catheter is located in the lower right portion of the image, and its",False,True,,False
109,synpic52767.jpg,CHEST,Is a pneumothorax present near the right lung field?,PRES,CLOSED,para,train,Yes,yes,"Yes

The region's electrical activity is within the normal range.","yes

the region's electrical activity is within the normal range.",False,True,,False
110,synpic22286.jpg,ABD,Are the branches of the superior mesenteric arteries filled with contrast?,COLOR,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
111,synpic22286.jpg,ABD,Are the branches of the superior mesenteric arteries hyper attenuated?,COLOR,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
114,synpic42245.jpg,CHEST,Are there any fractures in any of the ribs?,PRES,CLOSED,freeform,train,No,no,No,no,True,True,,True
115,synpic42245.jpg,CHEST,Are any of the patient's ribs fractured?,PRES,CLOSED,para,train,No,no,Yes,yes,False,False,,False
118,synpic30324.jpg,ABD,Is there evidence of fluid in the peritoneal cavity?,PRES,CLOSED,para,train,No,no,Yes,yes,False,False,,False
119,synpic30324.jpg,ABD,Is there evidence of ascites?,PRES,CLOSED,freeform,train,No,no,"Yes, the abdomen contains a subcutaneous fat layer, and the region of interest, located centrally and in the lower-middle area, occupies 0.1% of the total area. The region exhibits an unusual","yes, the abdomen contains a subcutaneous fat layer, and the region of interest, located centrally and in the lower-middle area, occupies 0.1% of the total area. the region exhibits an unusual",False,False,,False
120,synpic25534.jpg,ABD,Has the small bowel perforated?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
121,synpic25534.jpg,ABD,is there evidence of pneumoperitoneum?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
122,synpic39086.jpg,ABD,Is this the small bowel on this image?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
125,synpic34515.jpg,ABD,Are feces located in the colon?,PRES,CLOSED,para,train,yes,yes,Yes,yes,True,True,,True
126,synpic34515.jpg,ABD,Is there stool in the colon?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
127,synpic55245.jpg,HEAD,Do the left and right middle cerebral arteries appear patent on this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
128,synpic55245.jpg,HEAD,Is the left and right MCA present?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
129,synpic50962.jpg,HEAD,Is this a T2 weighted image?,MODALITY,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
130,synpic26925.jpg,HEAD,Is the lesion causing significant brainstem herniation?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
131,synpic26925.jpg,HEAD,Is there herniation of the brainstem secondary to the lesion,PRES,CLOSED,para,train,No,no,No,no,True,True,,True
132,synpic40272.jpg,CHEST,is it difficult to delineate the left costophrenic angle?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
133,synpic40272.jpg,CHEST,Is there blunting of the left costophrenic angle?,PRES,CLOSED,para,train,yes,yes,Yes,yes,True,True,,True
134,synpic50962.jpg,HEAD,Are structures associated with the midbrain located in this image?,PRES,CLOSED,para,train,yes,yes,Yes,yes,True,True,,True
135,synpic50962.jpg,HEAD,Is the midbrain identified in this section?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
138,synpic22967.jpg,ABD,Are there more than 5 enlarged (>1 cm) lymph nodes around the stomach,COUNT,CLOSED,freeform,train,Yes,yes,"The region of the image is located in the lower-left corner of the stomach, and it appears to be a lymph node. The surrounding tissue appears to be normal, and there are no other visible characteristics to provide a reference","the region of the image is located in the lower-left corner of the stomach, and it appears to be a lymph node. the surrounding tissue appears to be normal, and there are no other visible characteristics to provide a reference",False,False,,False
139,synpic22967.jpg,ABD,Are there >5 lymph nodes located near the stomach?,COUNT,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
140,synpic22286.jpg,ABD,Does the gallbladder appear distended?,SIZE,CLOSED,freeform,train,Yes,yes,"Yes

The region of interest is located at the left side of the image, in the lower-middle area, and appears to have a greater density compared to the surrounding area. This dense region is likely a subconjunctival hemor","yes

the region of interest is located at the left side of the image, in the lower-middle area, and appears to have a greater density compared to the surrounding area. this dense region is likely a subconjunctival hemor",False,True,,False
141,synpic22286.jpg,ABD,Is the gallbladder enlarged?,SIZE,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
142,synpic39086.jpg,ABD,Is this image plane taken inferior to the liver?,PLANE,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
143,synpic34947.jpg,HEAD,is there any shift of midline structures visible in this section?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
144,synpic34947.jpg,HEAD,Is there shifting of structures across the middle?,PRES,CLOSED,para,train,no,no,Yes,yes,False,False,,False
147,synpic39086.jpg,ABD,Is there evidence of a small bowel obstruction with perforated viscus on this CT?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
148,synpic39086.jpg,ABD,Is there evidence of a pneumoperitoneum secondary to a perforation?,PRES,CLOSED,para,train,yes,yes,Yes,yes,True,True,,True
149,synpic39757.jpg,HEAD,Is there edema in the patient's right temporal lobe?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
150,synpic39757.jpg,HEAD,Is there evidence of cytotoxic edema in the right temporal lobe?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
151,synpic26925.jpg,HEAD,Does the mass have a smooth appearing border?,ATTRIB,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
152,synpic26925.jpg,HEAD,Is the mass well-defined?,ATTRIB,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
153,synpic34713.jpg,ABD,Is there contrast in the colonic lumen?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
154,synpic34713.jpg,ABD,Was the patient given oral contrast?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
155,synpic19605.jpg,ABD,Is the celiac trunk visualized and patent?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
156,synpic19605.jpg,ABD,Is the celiac trunk visualized?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
157,synpic19605.jpg,ABD,Is the celiac trunk patent?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
158,synpic19605.jpg,ABD,Is the celiac trunk able to be visualized in this patient and is it open?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
159,synpic19605.jpg,ABD,Is the celiac trunk able to be visualized in this patient?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
160,synpic19605.jpg,ABD,Is the celiac trunk open?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
163,synpic34947.jpg,HEAD,was this image taken without motion artifact,MODALITY,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
164,synpic39086.jpg,ABD,was this image taken with patient in symmetrical supine position?,OTHER,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
167,synpic50962.jpg,HEAD,Is this an image of the right and left temporal lobes?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
168,synpic26158.jpg,ABD,Are the liver 	splee n	stomac h	and esophagus all visualized in this image?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
169,synpic39088.jpg,ABD,Does the GI contrast hi-light the small bowel?,COLOR,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
170,synpic39088.jpg,ABD,Is there oral contrast in the patient's small bowel?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
171,synpic39088.jpg,ABD,Is there enlargement of the abdominal aorta on this image?,SIZE,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
172,synpic39088.jpg,ABD,Is the abdominal aorta large in size?,SIZE,CLOSED,para,train,No,no,Yes,yes,False,False,,False
173,synpic42245.jpg,CHEST,Are the costophrenic angles sharp?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
174,synpic42245.jpg,CHEST,Is there no evidence of blunting of the costophrenic angles?,PRES,CLOSED,para,train,yes,yes,Yes,yes,True,True,,True
175,synpic21776.jpg,CHEST,is the lung parenchyma well visualized?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
176,synpic34947.jpg,HEAD,Has the brainstem herniated?,PRES,CLOSED,para,train,no,no,Yes,yes,False,False,,False
177,synpic34947.jpg,HEAD,is there evidence of brainstem herniation in this section,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
178,synpic40272.jpg,CHEST,are the heart and lungs displayed well in this film,ORGAN,CLOSED,freeform,train,yes,yes,"The region of interest is located in the lower part of the image, around the center of the image. It is a small area, but its appearance is distinct, with a dark color that contrasts with the rest of the image. This dark area","the region of interest is located in the lower part of the image, around the center of the image. it is a small area, but its appearance is distinct, with a dark color that contrasts with the rest of the image. this dark area",False,False,,False
186,synpic31400.jpg,CHEST,Any abnormal findings in the lower lung fields?,ABN,CLOSED,para,train,no,no,Yes,yes,False,False,,False
187,synpic31400.jpg,CHEST,Are the lower lung fields normal?,ABN,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
188,synpic21734.jpg,ABD,Is the mass loculated?,PRES,CLOSED,freeform,train,Yes,yes,"Yes

The region of interest is located in the left ventricular cavity, and is characterized by a hyperdense area, which is indicative of an acute myocardial infarction. The surrounding normal tissue","yes

the region of interest is located in the left ventricular cavity, and is characterized by a hyperdense area, which is indicative of an acute myocardial infarction. the surrounding normal tissue",False,True,,False
189,synpic21734.jpg,ABD,Is there a loculated pancreatic mass?,PRES,CLOSED,para,train,Yes,yes,"Yes

The region of interest is located in the left ventricle of the brain, with a hyperdense area indicative of an acute hemorrhage. The surrounding brain parenchyma is affected, possibly due to the","yes

the region of interest is located in the left ventricle of the brain, with a hyperdense area indicative of an acute hemorrhage. the surrounding brain parenchyma is affected, possibly due to the",False,True,,False
192,synpic20260.jpg,ABD,What organ system is evaluated primarily?,ORGAN,OPEN,freeform,train,GI,gi,Brain,brain,False,False,INCORRECT,False
193,synpic45162.jpg,ABD,Are there gallstones?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
194,synpic45162.jpg,ABD,Are gallstones present?,PRES,CLOSED,para,train,yes,yes,"No

This region is located in the lower part of the image and appears to be a part of the urinary system, possibly the bladder or urethra. The abnormality is indicative of a disease process, possibly","no

this region is located in the lower part of the image and appears to be a part of the urinary system, possibly the bladder or urethra. the abnormality is indicative of a disease process, possibly",False,False,,False
195,synpic32933.jpg,CHEST,Is the left hemidiaphragm normal?,ABN,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
197,synpic49914.jpg,CHEST,Is this a chest x-ray?,MODALITY,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
198,synpic56799.jpg,HEAD,How would you describe the lesion?,ATTRIB,OPEN,freeform,train,Ring-enhancing lesion,ring-enhancing lesion,"The region of interest is located in the right frontal lobe of the brain, and it appears to be a small, well-defined area with a darker density compared to the surrounding brain tissue. This darker density could be indicative","the region of interest is located in the right frontal lobe of the brain, and it appears to be a small, well-defined area with a darker density compared to the surrounding brain tissue. this darker density could be indicative",False,False,INCORRECT,False
199,synpic56799.jpg,HEAD,What are key characteristics of the lesion?,ATTRIB,OPEN,para,train,Ring-enhancing lesion,ring-enhancing lesion,Density,density,False,False,INCORRECT,False
201,synpic57368.jpg,HEAD,Are there abnormal findings on this image?,ABN,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
202,synpic57368.jpg,HEAD,Is this brain scan normal?,ABN,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
203,synpic46720.jpg,HEAD,Is the brain tissue ischemic?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
204,synpic46720.jpg,HEAD,Is there atrophy of the brain?,SIZE,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
205,synpic55948.jpg,HEAD,How would you describe the abnormality?,ATTRIB,OPEN,para,train,Diffuse,diffuse,"The abnormality in the image is characterized by a hyperdense area in the brain, which is indicative of an intracranial hemorrhage. The hyperdense area is located in the left-center of the brain","the abnormality in the image is characterized by a hyperdense area in the brain, which is indicative of an intracranial hemorrhage. the hyperdense area is located in the left-center of the brain",False,False,INCORRECT,False
206,synpic55948.jpg,HEAD,Is the abnormality focal or diffuse?,ATTRIB,CLOSED,freeform,train,Diffuse,diffuse,Yes,yes,False,False,,False
207,synpic20260.jpg,ABD,What kind of scan is this?,MODALITY,OPEN,freeform,train,CT,ct,CT scan,ct scan,False,True,CORRECT,True
208,synpic21734.jpg,ABD,Is there evidence of calcification in the mass?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
209,synpic21734.jpg,ABD,Is the mass calcified?,PRES,CLOSED,freeform,train,Yes,yes,"Yes

This region of the image is a common indicator of a brain hemorrhage, with a dark-colored area that is not normally present in the brain tissue. The region's appearance is indicative of a potential brain","yes

this region of the image is a common indicator of a brain hemorrhage, with a dark-colored area that is not normally present in the brain tissue. the region's appearance is indicative of a potential brain",False,True,,False
