qid,image_name,image_organ,question,question_type,answer_type,phrase_type,split,gt_answer,gt_normalized,pred_raw,pred_normalized,exact_match,contains,llm_judge,llm_judge_correct
14,synpic54610.jpg,HEAD,Where is the pathology in this image?,POS,OPEN,freeform,train,vasculature,vasculature,"Left-center, middle vertically, lower-middle horizontally (brain parenchyma) and upper-middle horizontally, middle vertically (white matter) and middle horizontally, middle vertically (gray matter)","left-center, middle vertically, lower-middle horizontally (brain parenchyma) and upper-middle horizontally, middle vertically (white matter) and middle horizontally, middle vertically (gray matter)",False,False,INCORRECT,False
15,synpic42202.jpg,CHEST,Is there a pneumothorax?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
16,synpic54610.jpg,HEAD,What type of imaging is this?,MODALITY,OPEN,freeform,train,MRI Diffusion Weighted,mri diffusion weighted,CT scan (Computed Tomography) (not specified in the caption),ct scan (computed tomography) (not specified in the caption),False,False,INCORRECT,False
17,synpic54610.jpg,HEAD,What organ system is pictured?,ORGAN,OPEN,freeform,train,the brain,the brain,"Brain (Cerebrum, Cerebellum, Brainstem) and spinal cord (Cord) (not shown) and cranial nerves (not shown) and blood vessels (not shown) and cysts","brain (cerebrum, cerebellum, brainstem) and spinal cord (cord) (not shown) and cranial nerves (not shown) and blood vessels (not shown) and cysts",False,True,CORRECT,True
18,synpic29265.jpg,CHEST,Is there a fracture?,PRES,CLOSED,freeform,train,no,no,No (not specified in the caption),no (not specified in the caption),False,True,,False
20,synpic39460.jpg,HEAD,Is there swelling of the grey matter?,SIZE,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
22,synpic28602.jpg,CHEST,Is this an anterior posterior image?,PLANE,CLOSED,freeform,train,no,no,No,no,True,True,,True
24,synpic39460.jpg,HEAD,Is this the brain?,ORGAN,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
25,synpic29265.jpg,CHEST,Is there air under the diaphragm?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
26,synpic42202.jpg,CHEST,What type of image is this?,MODALITY,OPEN,freeform,train,Chest X-ray,chest x-ray,"CT scan (Computed Tomography) image of the chest and abdomen, with contrast media (dye) used for better visualization of the area of interest.","ct scan (computed tomography) image of the chest and abdomen, with contrast media (dye) used for better visualization of the area of interest.",False,False,INCORRECT,False
27,synpic39460.jpg,HEAD,Is this a CT image?,MODALITY,CLOSED,freeform,train,no,no,No,no,True,True,,True
28,synpic42202.jpg,CHEST,Is this an anterior-posterior image,PLANE,CLOSED,freeform,train,no,no,No,no,True,True,,True
29,synpic39460.jpg,HEAD,In what plane is this image oriented?,PLANE,OPEN,freeform,train,Axial,axial,"Horizontal, Vertical (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (","horizontal, vertical (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (not specified) (",False,False,CORRECT,True
30,synpic39460.jpg,HEAD,Is there a skull fracture pictured?,PRES,CLOSED,freeform,train,No,no,No (not explicitly stated in the caption),no (not explicitly stated in the caption),False,True,,False
37,synpic26158.jpg,ABD,was the arterial contrast phase selected?,MODALITY,CLOSED,freeform,train,yes,yes,No,no,False,False,,False
38,synpic26158.jpg,ABD,does this plane of section include the gastric cardia?,PLANE,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
42,synpic21776.jpg,CHEST,was this taken with good x ray penetration,MODALITY,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
43,synpic34713.jpg,ABD,Are the common ileac arteries and veins patent in this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
44,synpic34713.jpg,ABD,Are the common iliac vasculature open?,PRES,CLOSED,para,train,Yes,yes,No (indicated by the presence of a hematoma),no (indicated by the presence of a hematoma),False,False,,False
45,synpic19605.jpg,ABD,Is the spleen normal size?,SIZE,CLOSED,freeform,train,Yes,yes,No (abnormal size),no (abnormal size),False,False,,False
46,synpic19605.jpg,ABD,Is the size of the spleen normal?,SIZE,CLOSED,para,train,Yes,yes,No (abnormal size),no (abnormal size),False,False,,False
47,synpic39086.jpg,ABD,Are there air fluid levels present in the small bowel?,PRES,CLOSED,para,train,yes,yes,Yes,yes,True,True,,True
48,synpic39086.jpg,ABD,is there contrast material showing air-fluid levels in the small bowel,PRES,CLOSED,freeform,train,yes,yes,No,no,False,False,,False
49,synpic55245.jpg,HEAD,Is/Are the mass located near/in the mid brain?,POS,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
50,synpic55245.jpg,HEAD,Is the mass compressing the mid brain on this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
51,synpic55245.jpg,HEAD,Is the mass pushing on the midbrain structures?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
52,synpic50962.jpg,HEAD,Are brain structures shifted across the midline?,PRES,CLOSED,para,train,no,no,Yes,yes,False,False,,False
53,synpic50962.jpg,HEAD,is there a midline shift of the cerebral parenchyma?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
54,synpic22967.jpg,ABD,Is the gallbladder large in size?,SIZE,CLOSED,para,train,No,no,No (not specified in the caption),no (not specified in the caption),False,True,,False
55,synpic22967.jpg,ABD,Is the gallbladder distended?,SIZE,CLOSED,freeform,train,No,no,No (not specified in the caption),no (not specified in the caption),False,True,,False
56,synpic25821.jpg,CHEST,Are there >8 ribs shown in this image?,COUNT,CLOSED,para,train,Yes,yes,No (8 ribs are visible),no (8 ribs are visible),False,False,,False
57,synpic25821.jpg,CHEST,Are there at least 8 ribs visible for good inspiratory effort?,COUNT,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
58,synpic34947.jpg,HEAD,is this an image of the cerebellum,ORGAN,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
59,synpic50962.jpg,HEAD,Is this a transverse section?,PLANE,CLOSED,freeform,train,yes,yes,No,no,False,False,,False
60,synpic34515.jpg,ABD,Is the patient's vertebral body indicative of normal aging?,OTHER,CLOSED,para,train,Yes,yes,No,no,False,False,,False
61,synpic34515.jpg,ABD,any observed degenerative changes in the vertebral body?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
64,synpic30324.jpg,ABD,Is there evidence of herniation of the small bowel into the abdominal wall?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
65,synpic30324.jpg,ABD,Is there evidence of an abdominal hernia?,PRES,CLOSED,para,train,No,no,Yes,yes,False,False,,False
66,synpic39088.jpg,ABD,Are there air-fluid levels present on this CT radiograph?,PRES,CLOSED,freeform,train,Yes,yes,No (not specified in the caption),no (not specified in the caption),False,False,,False
67,synpic39088.jpg,ABD,Is there evidence of air fluid levels in the patient's bowel?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
68,synpic55245.jpg,HEAD,Have brain structures crossed the midline of the brain?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
69,synpic55245.jpg,HEAD,Is there evidence of midlight shift of structures on this MRI?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
70,synpic21776.jpg,CHEST,was this taken in PA position?,PLANE,CLOSED,freeform,train,yes,yes,No,no,False,False,,False
71,synpic34713.jpg,ABD,Is there evidence of air in the peritoneum?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
72,synpic34713.jpg,ABD,Is there air in the peritoneal cavity?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
73,synpic42245.jpg,CHEST,Are the hilar soft tissue densities symmetric?,ATTRIB,CLOSED,freeform,train,no,no,No,no,True,True,,True
74,synpic42245.jpg,CHEST,Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,SIZE,CLOSED,para,train,no,no,Yes,yes,False,False,,False
75,synpic16174.jpg,CHEST,Is the descending aortic silhouette of normal contour?,ATTRIB,CLOSED,para,train,Yes,yes,No,no,False,False,,False
76,synpic16174.jpg,CHEST,Is the descending aortic silhouette of normal contour and size?,ATTRIB,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
77,synpic16174.jpg,CHEST,Is there tortuosity of the descending aorta?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
78,synpic16174.jpg,CHEST,Is the descending aortic silhouette of normal size?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
80,synpic34947.jpg,HEAD,are the vertebral arteries patent in this section?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
81,synpic34947.jpg,HEAD,Are the vertebral arteries in view?,PRES,CLOSED,para,train,Yes,yes,No,no,False,False,,False
84,synpic26925.jpg,HEAD,Is the vertebro-basilar arterial network viewed in this section?,PRES,CLOSED,freeform,train,Yes,yes,No,no,False,False,,False
85,synpic26925.jpg,HEAD,Is the vertebral artery/basilar artery located in this image?,PRES,CLOSED,para,train,Yes,yes,No (not shown in this image),no (not shown in this image),False,False,,False
86,synpic39757.jpg,HEAD,Is there blurring of the grey-white matter junctions in the right temporal lobe?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
87,synpic39757.jpg,HEAD,Is there no definitive border between the grey matter and white matter in the right temporal lobe?,PRES,CLOSED,para,train,Yes,yes,No,no,False,False,,False
88,synpic26158.jpg,ABD,is there evidence of portal venous congestion?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
89,synpic26158.jpg,ABD,Is the portal vein engorged?,PRES,CLOSED,para,train,no,no,No (not shown in the image),no (not shown in the image),False,True,,False
90,synpic34947.jpg,HEAD,is the plane of section transverse?,PLANE,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
91,synpic19605.jpg,ABD,Is the liver parenchyma normal?,ABN,CLOSED,para,train,Yes,yes,No,no,False,False,,False
92,synpic19605.jpg,ABD,Is the liver parenchyma homogenous?,PRES,CLOSED,para,train,Yes,yes,No,no,False,False,,False
93,synpic19605.jpg,ABD,Is there no evidence of any hypo- or hyperattenuations located in the liver?,PRES,CLOSED,para,train,Yes,yes,No,no,False,False,,False
94,synpic19605.jpg,ABD,Is the liver parenchyma homogenous and normal?,PRES,CLOSED,freeform,train,Yes,yes,No,no,False,False,,False
95,synpic40272.jpg,CHEST,was this chest x ray taken in PA format?,PLANE,CLOSED,freeform,train,yes,yes,No,no,False,False,,False
96,synpic22967.jpg,ABD,Is the stomach thickening regular and uniform or ragged/asymmetrical?,ATTRIB,CLOSED,freeform,train,Asymmetric,asymmetric,Yes,yes,False,False,,False
97,synpic22967.jpg,ABD,Is the stomach wall thickening symmetric or asymmetric?,ATTRIB,CLOSED,para,train,Asymmetric,asymmetric,Yes,yes,False,False,,False
98,synpic26158.jpg,ABD,Is there evidence of ectopic tissue present in surrounding organs?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
99,synpic26158.jpg,ABD,Is there evidence of metastatic tissue on organs surrounding the liver?,PRES,CLOSED,para,train,no,no,Yes,yes,False,False,,False
100,synpic21776.jpg,CHEST,Are lung opacities noted?,PRES,CLOSED,para,train,No,no,No (not specified in the caption),no (not specified in the caption),False,True,,False
101,synpic21776.jpg,CHEST,is there evidence of intraparenchymal lung nodules?,PRES,CLOSED,freeform,train,No,no,Yes,yes,False,False,,False
106,synpic39757.jpg,HEAD,Are there calcifications in the cerebral arteries?,PRES,CLOSED,freeform,train,Yes,yes,No (not specified in the caption),no (not specified in the caption),False,False,,False
107,synpic39757.jpg,HEAD,Is there evidence of calcifications in the cerebral arteries?,PRES,CLOSED,para,train,Yes,yes,No (not specified in the caption),no (not specified in the caption),False,False,,False
108,synpic52767.jpg,CHEST,Is there evidence of a right apical pneumothorax on this chest x-ray?,PRES,CLOSED,freeform,train,Yes,yes,No,no,False,False,,False
109,synpic52767.jpg,CHEST,Is a pneumothorax present near the right lung field?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
110,synpic22286.jpg,ABD,Are the branches of the superior mesenteric arteries filled with contrast?,COLOR,CLOSED,freeform,train,Yes,yes,No (not shown in the image),no (not shown in the image),False,False,,False
111,synpic22286.jpg,ABD,Are the branches of the superior mesenteric arteries hyper attenuated?,COLOR,CLOSED,para,train,Yes,yes,No,no,False,False,,False
114,synpic42245.jpg,CHEST,Are there any fractures in any of the ribs?,PRES,CLOSED,freeform,train,No,no,No (not specified in the caption),no (not specified in the caption),False,True,,False
115,synpic42245.jpg,CHEST,Are any of the patient's ribs fractured?,PRES,CLOSED,para,train,No,no,No,no,True,True,,True
118,synpic30324.jpg,ABD,Is there evidence of fluid in the peritoneal cavity?,PRES,CLOSED,para,train,No,no,Yes,yes,False,False,,False
119,synpic30324.jpg,ABD,Is there evidence of ascites?,PRES,CLOSED,freeform,train,No,no,No (not explicitly stated in the caption),no (not explicitly stated in the caption),False,True,,False
120,synpic25534.jpg,ABD,Has the small bowel perforated?,PRES,CLOSED,freeform,train,No,no,Yes (potentially),yes (potentially),False,False,,False
121,synpic25534.jpg,ABD,is there evidence of pneumoperitoneum?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
122,synpic39086.jpg,ABD,Is this the small bowel on this image?,PRES,CLOSED,freeform,train,yes,yes,No,no,False,False,,False
125,synpic34515.jpg,ABD,Are feces located in the colon?,PRES,CLOSED,para,train,yes,yes,Yes,yes,True,True,,True
126,synpic34515.jpg,ABD,Is there stool in the colon?,PRES,CLOSED,freeform,train,yes,yes,No (not visible in the image),no (not visible in the image),False,False,,False
127,synpic55245.jpg,HEAD,Do the left and right middle cerebral arteries appear patent on this section?,PRES,CLOSED,freeform,train,Yes,yes,No,no,False,False,,False
128,synpic55245.jpg,HEAD,Is the left and right MCA present?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
129,synpic50962.jpg,HEAD,Is this a T2 weighted image?,MODALITY,CLOSED,freeform,train,Yes,yes,No,no,False,False,,False
130,synpic26925.jpg,HEAD,Is the lesion causing significant brainstem herniation?,PRES,CLOSED,freeform,train,No,no,No (not specified in the caption),no (not specified in the caption),False,True,,False
131,synpic26925.jpg,HEAD,Is there herniation of the brainstem secondary to the lesion,PRES,CLOSED,para,train,No,no,Yes,yes,False,False,,False
132,synpic40272.jpg,CHEST,is it difficult to delineate the left costophrenic angle?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
133,synpic40272.jpg,CHEST,Is there blunting of the left costophrenic angle?,PRES,CLOSED,para,train,yes,yes,Yes,yes,True,True,,True
134,synpic50962.jpg,HEAD,Are structures associated with the midbrain located in this image?,PRES,CLOSED,para,train,yes,yes,Yes,yes,True,True,,True
135,synpic50962.jpg,HEAD,Is the midbrain identified in this section?,PRES,CLOSED,freeform,train,yes,yes,No (not mentioned in the caption),no (not mentioned in the caption),False,False,,False
138,synpic22967.jpg,ABD,Are there more than 5 enlarged (>1 cm) lymph nodes around the stomach,COUNT,CLOSED,freeform,train,Yes,yes,No,no,False,False,,False
139,synpic22967.jpg,ABD,Are there >5 lymph nodes located near the stomach?,COUNT,CLOSED,para,train,Yes,yes,No (not specified in the caption),no (not specified in the caption),False,False,,False
140,synpic22286.jpg,ABD,Does the gallbladder appear distended?,SIZE,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
141,synpic22286.jpg,ABD,Is the gallbladder enlarged?,SIZE,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
142,synpic39086.jpg,ABD,Is this image plane taken inferior to the liver?,PLANE,CLOSED,freeform,train,yes,yes,No (not specified in the caption),no (not specified in the caption),False,False,,False
143,synpic34947.jpg,HEAD,is there any shift of midline structures visible in this section?,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
144,synpic34947.jpg,HEAD,Is there shifting of structures across the middle?,PRES,CLOSED,para,train,no,no,Yes,yes,False,False,,False
147,synpic39086.jpg,ABD,Is there evidence of a small bowel obstruction with perforated viscus on this CT?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
148,synpic39086.jpg,ABD,Is there evidence of a pneumoperitoneum secondary to a perforation?,PRES,CLOSED,para,train,yes,yes,Yes,yes,True,True,,True
149,synpic39757.jpg,HEAD,Is there edema in the patient's right temporal lobe?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
150,synpic39757.jpg,HEAD,Is there evidence of cytotoxic edema in the right temporal lobe?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
151,synpic26925.jpg,HEAD,Does the mass have a smooth appearing border?,ATTRIB,CLOSED,freeform,train,Yes,yes,No,no,False,False,,False
152,synpic26925.jpg,HEAD,Is the mass well-defined?,ATTRIB,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
153,synpic34713.jpg,ABD,Is there contrast in the colonic lumen?,PRES,CLOSED,freeform,train,Yes,yes,No (not specified in the caption),no (not specified in the caption),False,False,,False
154,synpic34713.jpg,ABD,Was the patient given oral contrast?,PRES,CLOSED,para,train,Yes,yes,No (not specified in the caption),no (not specified in the caption),False,False,,False
155,synpic19605.jpg,ABD,Is the celiac trunk visualized and patent?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
156,synpic19605.jpg,ABD,Is the celiac trunk visualized?,PRES,CLOSED,para,train,Yes,yes,No (not shown in the image),no (not shown in the image),False,False,,False
157,synpic19605.jpg,ABD,Is the celiac trunk patent?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
158,synpic19605.jpg,ABD,Is the celiac trunk able to be visualized in this patient and is it open?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
159,synpic19605.jpg,ABD,Is the celiac trunk able to be visualized in this patient?,PRES,CLOSED,para,train,Yes,yes,No (not shown in the image),no (not shown in the image),False,False,,False
160,synpic19605.jpg,ABD,Is the celiac trunk open?,PRES,CLOSED,para,train,Yes,yes,No (not shown in the image),no (not shown in the image),False,False,,False
163,synpic34947.jpg,HEAD,was this image taken without motion artifact,MODALITY,CLOSED,freeform,train,yes,yes,No,no,False,False,,False
164,synpic39086.jpg,ABD,was this image taken with patient in symmetrical supine position?,OTHER,CLOSED,freeform,train,yes,yes,No,no,False,False,,False
167,synpic50962.jpg,HEAD,Is this an image of the right and left temporal lobes?,PRES,CLOSED,freeform,train,Yes,yes,No (not specified in the caption),no (not specified in the caption),False,False,,False
168,synpic26158.jpg,ABD,Are the liver 	splee n	stomac h	and esophagus all visualized in this image?,PRES,CLOSED,freeform,train,yes,yes,No,no,False,False,,False
169,synpic39088.jpg,ABD,Does the GI contrast hi-light the small bowel?,COLOR,CLOSED,freeform,train,Yes,yes,No (not specified in the caption),no (not specified in the caption),False,False,,False
170,synpic39088.jpg,ABD,Is there oral contrast in the patient's small bowel?,PRES,CLOSED,para,train,Yes,yes,No,no,False,False,,False
171,synpic39088.jpg,ABD,Is there enlargement of the abdominal aorta on this image?,SIZE,CLOSED,freeform,train,No,no,No (not specified in the caption),no (not specified in the caption),False,True,,False
172,synpic39088.jpg,ABD,Is the abdominal aorta large in size?,SIZE,CLOSED,para,train,No,no,No (not specified in the caption),no (not specified in the caption),False,True,,False
173,synpic42245.jpg,CHEST,Are the costophrenic angles sharp?,PRES,CLOSED,freeform,train,yes,yes,No,no,False,False,,False
174,synpic42245.jpg,CHEST,Is there no evidence of blunting of the costophrenic angles?,PRES,CLOSED,para,train,yes,yes,No,no,False,False,,False
175,synpic21776.jpg,CHEST,is the lung parenchyma well visualized?,PRES,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
176,synpic34947.jpg,HEAD,Has the brainstem herniated?,PRES,CLOSED,para,train,no,no,Yes (potentially),yes (potentially),False,False,,False
177,synpic34947.jpg,HEAD,is there evidence of brainstem herniation in this section,PRES,CLOSED,freeform,train,no,no,Yes,yes,False,False,,False
178,synpic40272.jpg,CHEST,are the heart and lungs displayed well in this film,ORGAN,CLOSED,freeform,train,yes,yes,Yes,yes,True,True,,True
186,synpic31400.jpg,CHEST,Any abnormal findings in the lower lung fields?,ABN,CLOSED,para,train,no,no,Yes,yes,False,False,,False
187,synpic31400.jpg,CHEST,Are the lower lung fields normal?,ABN,CLOSED,freeform,train,yes,yes,No (abnormal density),no (abnormal density),False,False,,False
188,synpic21734.jpg,ABD,Is the mass loculated?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
189,synpic21734.jpg,ABD,Is there a loculated pancreatic mass?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
192,synpic20260.jpg,ABD,What organ system is evaluated primarily?,ORGAN,OPEN,freeform,train,GI,gi,"Brain and spinal cord (central nervous system) and surrounding tissues (meninges and cerebrospinal fluid) and blood vessels (arteries and veins) and brain structures (cerebrum, cerebell","brain and spinal cord (central nervous system) and surrounding tissues (meninges and cerebrospinal fluid) and blood vessels (arteries and veins) and brain structures (cerebrum, cerebell",False,False,INCORRECT,False
193,synpic45162.jpg,ABD,Are there gallstones?,PRES,CLOSED,freeform,train,yes,yes,No (not specified in the caption),no (not specified in the caption),False,False,,False
194,synpic45162.jpg,ABD,Are gallstones present?,PRES,CLOSED,para,train,yes,yes,No (not specified in the caption),no (not specified in the caption),False,False,,False
195,synpic32933.jpg,CHEST,Is the left hemidiaphragm normal?,ABN,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
197,synpic49914.jpg,CHEST,Is this a chest x-ray?,MODALITY,CLOSED,freeform,train,yes,yes,No,no,False,False,,False
198,synpic56799.jpg,HEAD,How would you describe the lesion?,ATTRIB,OPEN,freeform,train,Ring-enhancing lesion,ring-enhancing lesion,"Different texture, density, and size compared to surrounding brain tissue.","different texture, density, and size compared to surrounding brain tissue.",False,False,INCORRECT,False
199,synpic56799.jpg,HEAD,What are key characteristics of the lesion?,ATTRIB,OPEN,para,train,Ring-enhancing lesion,ring-enhancing lesion,"Differences in density and texture, possibly size and shape as well (not explicitly mentioned in the caption)","differences in density and texture, possibly size and shape as well (not explicitly mentioned in the caption)",False,False,INCORRECT,False
201,synpic57368.jpg,HEAD,Are there abnormal findings on this image?,ABN,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
202,synpic57368.jpg,HEAD,Is this brain scan normal?,ABN,CLOSED,freeform,train,No,no,No,no,True,True,,True
203,synpic46720.jpg,HEAD,Is the brain tissue ischemic?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
204,synpic46720.jpg,HEAD,Is there atrophy of the brain?,SIZE,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
205,synpic55948.jpg,HEAD,How would you describe the abnormality?,ATTRIB,OPEN,para,train,Diffuse,diffuse,Different texture and density compared to surrounding brain tissue. Variations in color and texture may indicate a pathological condition.,different texture and density compared to surrounding brain tissue. variations in color and texture may indicate a pathological condition.,False,False,CORRECT,True
206,synpic55948.jpg,HEAD,Is the abnormality focal or diffuse?,ATTRIB,CLOSED,freeform,train,Diffuse,diffuse,Yes,yes,False,False,,False
207,synpic20260.jpg,ABD,What kind of scan is this?,MODALITY,OPEN,freeform,train,CT,ct,CT scan (Computed Tomography),ct scan (computed tomography),False,True,CORRECT,True
208,synpic21734.jpg,ABD,Is there evidence of calcification in the mass?,PRES,CLOSED,para,train,Yes,yes,Yes,yes,True,True,,True
209,synpic21734.jpg,ABD,Is the mass calcified?,PRES,CLOSED,freeform,train,Yes,yes,Yes,yes,True,True,,True
210,synpic18461.jpg,CHEST,What kind of image is this?,MODALITY,OPEN,freeform,train,Chest x-ray,chest x-ray,Medical imaging (CT scan),medical imaging (ct scan),False,False,INCORRECT,False
211,synpic56799.jpg,HEAD,Is this a normal image?,ABN,CLOSED,para,train,No,no,No,no,True,True,,True
212,synpic56799.jpg,HEAD,Is the brain scan normal?,ABN,CLOSED,freeform,train,No,no,No,no,True,True,,True
213,synpic40314.jpg,ABD,What organ is enlarged?,PRES,OPEN,para,train,Pancreas,pancreas,"Brain (cerebrum, cerebellum) and brainstem (midbrain) structures, cerebral hemispheres, cerebellum, brainstem, cerebral cortex, c","brain (cerebrum, cerebellum) and brainstem (midbrain) structures, cerebral hemispheres, cerebellum, brainstem, cerebral cortex, c",False,False,INCORRECT,False
214,synpic40314.jpg,ABD,Which organ has the abnormality?,PRES,OPEN,freeform,train,Pancreas,pancreas,"Brain (cerebrum, cerebellum, brainstem) and spinal cord (white matter) are affected by the abnormality. The image shows a hemorrhage or mass effect. Various brain structures are","brain (cerebrum, cerebellum, brainstem) and spinal cord (white matter) are affected by the abnormality. the image shows a hemorrhage or mass effect. various brain structures are",False,False,INCORRECT,False
215,synpic31400.jpg,CHEST,where is the cavitary lesion?,POS,OPEN,freeform,train,Right upper lobe,right upper lobe,"Left-center, middle vertically, lower-middle horizontally (brain parenchyma) and upper-middle horizontally, middle vertically (ventricular system) and middle horizontally, middle vertically (c","left-center, middle vertically, lower-middle horizontally (brain parenchyma) and upper-middle horizontally, middle vertically (ventricular system) and middle horizontally, middle vertically (c",False,False,INCORRECT,False
216,synpic31400.jpg,CHEST,where is the abnormality?,POS,OPEN,para,train,Right upper lobe,right upper lobe,"Left-center, middle vertically, lower-middle horizontally (brain parenchyma) and upper-middle horizontally, middle vertically (ventricular system) and middle horizontally, middle vertically (c","left-center, middle vertically, lower-middle horizontally (brain parenchyma) and upper-middle horizontally, middle vertically (ventricular system) and middle horizontally, middle vertically (c",False,False,INCORRECT,False
