qid,image_name,image_organ,question,question_type,answer_type,phrase_type,split,gt_answer,gt_normalized,pred_raw,pred_normalized,exact_match,contains,llm_judge,llm_judge_correct,human_label
997,synpic51426.jpg,HEAD,What structures are located near the hemorrhage shown?,PRES,OPEN,test_freeform,test,Left thalamus and basal ganglia,left thalamus and basal ganglia,Blood vessels,blood vessels,False,False,INCORRECT,False,INCORRECT
2235,synpic53228.jpg,CHEST,How many ribs are present in vertical order on this chest radiograph,COUNT,OPEN,para,train,12,12,12,12,True,True,CORRECT,True,CORRECT
218,synpic23130.jpg,ABD,What density is the abnormality?,COLOR,OPEN,freeform,train,Hypodense,hypodense,High,high,False,False,INCORRECT,False,INCORRECT
1249,synpic19232.jpg,CHEST,How are the borders of the lesion?,ATTRIB,OPEN,para,train,Smooth,smooth,Blurry,blurry,False,False,INCORRECT,False,INCORRECT
1754,synpic47964.jpg,HEAD,What plane of section is the brain taken in?,PLANE,OPEN,para,train,Axial,axial,Coronal,coronal,False,False,INCORRECT,False,INCORRECT
1033,synpic56422.jpg,HEAD,Which organ system is shown in the image?,ORGAN,OPEN,para,train,Brain,brain,Brain,brain,True,True,CORRECT,True,CORRECT
1958,synpic52282.jpg,HEAD,What is spared in the left basal ganglia?,ABN,OPEN,para,train,Left thalamus,left thalamus,Nothing,nothing,False,False,INCORRECT,False,INCORRECT
985,synpic17153.jpg,HEAD,What type of MRI is used to acquire this image?,MODALITY,OPEN,freeform,train,T2 weighted,t2 weighted,Brain,brain,False,False,CORRECT,True,CORRECT
310,synpic46720.jpg,HEAD,What does the abnormality suggest?,OTHER,OPEN,freeform,train,Ischemia,ischemia,Brain damage,brain damage,False,False,INCORRECT,False,INCORRECT
347,synpic24220.jpg,ABD,Where in this image are the bowel loops?,POS,OPEN,freeform,train,Left side,left side,Left,left,False,True,CORRECT,True,CORRECT
1178,synpic34922.jpg,HEAD,Where is the lesion located?,POS,OPEN,para,train,Right temporal lobe,right temporal lobe,Brain,brain,False,False,CORRECT,True,CORRECT
198,synpic56799.jpg,HEAD,How would you describe the lesion?,ATTRIB,OPEN,freeform,train,Ring-enhancing lesion,ring-enhancing lesion,Tumor,tumor,False,False,CORRECT,True,CORRECT
182,synpic18319.jpg,CHEST,What abnormalities are seen within the lungs?,ABN,OPEN,test_freeform,test,Pulmonary nodules,pulmonary nodules,None,none,False,False,INCORRECT,False,INCORRECT
375,synpic24390.jpg,CHEST,How wide is the heart compared to the thorax?,SIZE,OPEN,test_para,test,It is less than half the width of the thorax,it is less than half the width of the thorax,Wide,wide,False,False,INCORRECT,False,INCORRECT
990,synpic46062.jpg,HEAD,What organ system is shown in the above image?,ORGAN,OPEN,freeform,train,Brain,brain,Brain,brain,True,True,CORRECT,True,CORRECT
1951,synpic31116.jpg,HEAD,In what plane was this image taken?,PLANE,OPEN,freeform,train,axial,axial,3D,3d,False,False,INCORRECT,False,INCORRECT
1892,synpic31928.jpg,HEAD,What condition is found in the above image?,ABN,OPEN,para,train,right subdural hematoma,right subdural hematoma,Brain,brain,False,False,CORRECT,True,INCORRECT
991,synpic46062.jpg,HEAD,What is the organ system in this image?,ORGAN,OPEN,para,train,Brain,brain,Brain,brain,True,True,CORRECT,True,CORRECT
710,synpic51926.jpg,ABD,in what system is the pathology?,ORGAN,OPEN,freeform,train,GI,gi,Digestive,digestive,False,False,CORRECT,True,CORRECT
579,synpic43648.jpg,ABD,What are the dark areas at the top of the picture?,PRES,OPEN,para,train,Large bowel,large bowel,Lungs,lungs,False,False,INCORRECT,False,INCORRECT
984,synpic17153.jpg,HEAD,MRI imaging modality used for this image?,MODALITY,OPEN,para,train,T2 weighted,t2 weighted,MRI,mri,False,False,CORRECT,True,INCORRECT
274,synpic29219.jpg,ABD,Describe the lesions in the right kidney?,ATTRIB,OPEN,para,train,Cystic lesions,cystic lesions,Cyst,cyst,False,True,CORRECT,True,CORRECT
976,synpic17738.jpg,CHEST,How large is the mass in the right upper quadrant?,SIZE,OPEN,test_freeform,test,3.4 cm,3.4 cm,Small,small,False,False,INCORRECT,False,INCORRECT
940,synpic41119.jpg,ABD,What plane is this image in?,PLANE,OPEN,freeform,train,Axial,axial,X,x,False,True,CORRECT,True,INCORRECT
906,synpic17693.jpg,CHEST,What plane is this X-ray in?,PLANE,OPEN,freeform,train,PA,pa,Body,body,False,False,INCORRECT,False,INCORRECT
1933,synpic27198.jpg,ABD,What is the size and density of the lesion?,SIZE,OPEN,para,train,"5.6cm focal, predominantly hypodense","5.6cm focal, predominantly hypodense",Small,small,False,False,INCORRECT,False,INCORRECT
